channel,t,amplitude
Bearing A,0.081,0.547853
Bearing A,0.082,0.893408
Bearing A,0.083,1.405049
Bearing A,0.084,1.471044
Bearing A,0.085,1.221717
Bearing A,0.086,0.870331
Bearing A,0.087,0.64877
Bearing A,0.088,0.918141
Bearing A,0.089,1.048479
Bearing A,0.09,1.287759
Bearing A,0.091,0.786191
Bearing A,0.092,0.133258
Bearing A,0.093,-0.544385
Bearing A,0.094,-1.309227
Bearing A,0.095,-1.836658
Bearing A,0.096,-1.567097
Bearing A,0.097,-0.789244
Bearing A,0.098,-0.114198
Bearing A,0.099,0.526101
Bearing A,0.1,0.066803
Bearing A,0.101,0.162526
Bearing A,0.102,0.322332
Bearing A,0.103,1.047701
Bearing A,0.104,1.03099
Bearing A,0.105,0.93496
Bearing A,0.106,1.054688
Bearing A,0.107,0.589105
Bearing A,0.108,0.638743
Bearing A,0.109,1.024806
Bearing A,0.11,0.758381
Bearing A,0.111,0.612171
Bearing A,0.112,0.121416
Bearing A,0.113,-0.860125
Bearing A,0.114,-1.572361
Bearing A,0.115,-1.505031
Bearing A,0.116,-0.641507
Bearing A,0.117,-0.377565
Bearing A,0.118,0.217616
Bearing A,0.119,0.400987
Bearing A,0.12,0.289944
Bearing A,0.121,0.513775
Bearing A,0.122,0.645868
Bearing A,0.123,0.973661
Bearing A,0.124,0.672657
Bearing A,0.125,0.77887
Bearing A,0.126,0.654733
Bearing A,0.127,0.988764
Bearing A,0.128,0.792641
Bearing A,0.129,0.960933
Bearing A,0.13,1.093685
Bearing A,0.131,0.538354
Bearing A,0.132,0.080955
Bearing A,0.133,-0.741395
Bearing A,0.134,-1.118614
Bearing A,0.135,-1.247622
Bearing A,0.136,-0.932051
Bearing A,0.137,-0.418401
Bearing A,0.138,0.063388
Bearing A,0.139,0.487448
Bearing A,0.14,0.591547
Bearing A,0.141,0.821099
Bearing A,0.142,0.97504
Bearing A,0.143,1.301506
Bearing A,0.144,0.987806
Bearing A,0.145,1.451419
Bearing A,0.146,1.009612
Bearing A,0.147,0.906884
Bearing A,0.148,0.945719
Bearing A,0.149,0.916942
Bearing A,0.15,0.884783
Bearing A,0.151,0.635621
Bearing A,0.152,0.486302
Bearing A,0.153,-0.478187
Bearing A,0.154,-1.181719
Bearing A,0.155,-1.238353
Bearing A,0.156,-1.163068
Bearing A,0.157,-0.409233
Bearing A,0.158,0.025608
Bearing A,0.159,0.150945
Bearing A,0.16,0.319073
Bearing A,0.161,0.386314
Bearing A,0.162,0.237623
Bearing A,0.163,0.817526
Bearing A,0.164,0.943302
Bearing A,0.165,0.71785
Bearing A,0.166,0.683721
Bearing A,0.167,0.481802
Bearing A,0.168,0.382621
Bearing A,0.169,0.780751
Bearing A,0.17,1.101381
Bearing A,0.171,0.478653
Bearing A,0.172,-0.130613
Bearing A,0.173,-0.565031
Bearing A,0.174,-1.166783
Bearing A,0.175,-1.422633
Bearing A,0.176,-1.210654
Bearing A,0.177,-0.266257
Bearing A,0.178,0.218127
Bearing A,0.179,0.623849
Bearing A,0.18,0.554303
Bearing A,0.181,0.73811
Bearing A,0.182,1.169051
Bearing A,0.183,1.4997
Bearing A,0.184,1.411467
Bearing A,0.185,1.206049
Bearing A,0.186,0.778097
Bearing A,0.187,0.575815
Bearing A,0.188,0.531532
Bearing A,0.189,0.611765
Bearing A,0.19,1.124549
Bearing A,0.191,1.0636
Bearing A,0.192,0.346344
Bearing A,0.193,-0.609735
Bearing A,0.194,-1.201405
Bearing A,0.195,-1.142218
Bearing A,0.196,-0.788991
Bearing A,0.197,-0.350198
Bearing A,0.198,0.118327
Bearing A,0.199,0.306066
Bearing A,0.2,0.520111
Bearing A,0.201,0.781228
Bearing A,0.202,0.910569
Bearing A,0.203,1.280632
Bearing A,0.204,1.388692
Bearing A,0.205,1.204595
Bearing A,0.206,0.853983
Bearing A,0.207,0.231691
Bearing A,0.208,0.31242
Bearing A,0.209,0.449566
Bearing A,0.21,0.783923
Bearing A,0.211,0.830516
Bearing A,0.212,0.057813
Bearing A,0.213,-0.813839
Bearing A,0.214,-1.459384
Bearing A,0.215,-1.520206
Bearing A,0.216,-0.924705
Bearing A,0.217,-0.527472
Bearing A,0.218,0.111062
Bearing A,0.219,0.201241
Bearing A,0.22,0.641317
Bearing A,0.221,0.926581
Bearing A,0.222,0.834285
Bearing A,0.223,0.981528
Bearing A,0.224,1.13495
Bearing A,0.225,0.813501
Bearing A,0.226,0.744705
Bearing A,0.227,0.843428
Bearing A,0.228,0.446587
Bearing A,0.229,0.93916
Bearing A,0.23,0.948502
Bearing A,0.231,0.627834
Bearing A,0.232,-0.276854
Bearing A,0.233,-0.590273
Bearing A,0.234,-1.445108
Bearing A,0.235,-1.20278
Bearing A,0.236,-0.809497
Bearing A,0.237,-0.599783
Bearing A,0.238,-0.012061
Bearing A,0.239,0.291584
Bearing A,0.24,0.44421
Bearing A,0.241,0.971743
Bearing A,0.242,1.507003
Bearing A,0.243,1.22401
Bearing A,0.244,1.596332
Bearing A,0.245,1.221251
Bearing A,0.246,0.901758
Bearing A,0.247,0.450945
Bearing A,0.248,0.5085
Bearing A,0.249,0.926257
Bearing A,0.25,0.756287
Bearing A,0.251,0.232701
Bearing A,0.252,-0.386561
Bearing A,0.253,-1.126855
Bearing A,0.254,-1.465644
Bearing A,0.255,-1.417569
Bearing A,0.256,-0.97164
Bearing A,0.257,-0.6332
Bearing A,0.258,-0.059995
Bearing A,0.259,0.25445
Bearing A,0.26,0.518993
Bearing A,0.261,0.634637
Bearing A,0.262,0.9583
Bearing A,0.263,1.231036
Bearing A,0.264,0.965143
Bearing A,0.265,1.03111
Bearing A,0.266,0.460809
Bearing A,0.267,0.432387
Bearing A,0.268,0.471156
Bearing A,0.269,0.942106
Bearing A,0.27,0.839546
Bearing A,0.271,0.930825
Bearing A,0.272,0.413274
Bearing A,0.273,-0.523298
Bearing A,0.274,-0.622085
Bearing A,0.275,-1.108147
Bearing A,0.276,-0.943528
Bearing A,0.277,-0.431673
Bearing A,0.278,0.034445
Bearing A,0.279,0.159186
Bearing A,0.28,0.578474
Bearing A,0.281,0.616977
Bearing A,0.282,1.078165
Bearing A,0.283,1.108001
Bearing A,0.284,1.584994
Bearing A,0.285,1.105633
Bearing A,0.286,1.03278
Bearing A,0.287,0.81312
Bearing A,0.288,0.489283
Bearing A,0.289,0.889746
Bearing A,0.29,1.141538
Bearing A,0.291,0.649056
Bearing A,0.292,-0.000653
Bearing A,0.293,-1.097049
Bearing A,0.294,-1.615494
Bearing A,0.295,-1.451759
Bearing A,0.296,-1.143862
Bearing A,0.297,-0.429379
Bearing A,0.298,0.123859
Bearing A,0.299,0.180788
Bearing A,0.3,0.336026
Bearing A,0.301,0.918635
Bearing A,0.302,1.448831
Bearing A,0.303,1.492972
Bearing A,0.304,1.328442
Bearing A,0.305,1.313481
Bearing A,0.306,1.020044
Bearing A,0.307,0.879383
Bearing A,0.308,0.869523
Bearing A,0.309,1.208816
Bearing A,0.31,0.919693
Bearing A,0.311,0.713288
Bearing A,0.312,0.119474
Bearing A,0.313,-0.649176
Bearing A,0.314,-1.696153
Bearing A,0.315,-1.556127
Bearing A,0.316,-1.246014
Bearing A,0.317,-0.832935
Bearing A,0.318,-0.034185
Bearing A,0.319,0.488203
Bearing A,0.32,0.265867
Bearing A,0.321,0.605056
Bearing A,0.322,0.504933
Bearing A,0.323,1.064944
Bearing A,0.324,1.017549
Bearing A,0.325,0.721637
Bearing A,0.326,0.84359
Bearing A,0.327,0.720857
Bearing A,0.328,0.689335
Bearing A,0.329,0.733024
Bearing A,0.33,0.86269
Bearing A,0.331,0.215277
Bearing A,0.332,-0.332158
Bearing A,0.333,-1.164836
Bearing A,0.334,-1.684687
Bearing A,0.335,-1.495171
Bearing A,0.336,-1.096624
Bearing A,0.337,-0.469277
Bearing A,0.338,0.177838
Bearing A,0.339,0.49145
Bearing A,0.34,0.769402
Bearing A,0.341,0.792785
Bearing A,0.342,0.880344
Bearing A,0.343,1.17776
Bearing A,0.344,1.566235
Bearing A,0.345,0.966722
Bearing A,0.346,0.561072
Bearing A,0.347,0.004698
Bearing A,0.348,0.200062
Bearing A,0.349,0.593044
Bearing A,0.35,0.541853
Bearing A,0.351,0.521681
Bearing A,0.352,-0.143194
Bearing A,0.353,-0.786534
Bearing A,0.354,-1.410666
Bearing A,0.355,-1.512367
Bearing A,0.356,-1.099821
Bearing A,0.357,-0.607774
Bearing A,0.358,-0.136107
Bearing A,0.359,0.083887
Bearing A,0.36,0.181156
Bearing A,0.361,0.379094
Bearing A,0.362,0.891365
Bearing A,0.363,0.93742
Bearing A,0.364,0.822631
Bearing A,0.365,0.631676
Bearing A,0.366,0.568953
Bearing A,0.367,0.655547
Bearing A,0.368,0.795891
Bearing A,0.369,0.569287
Bearing A,0.37,0.744376
Bearing A,0.371,0.542891
Bearing A,0.372,-0.031391
Bearing A,0.373,-0.973163
Bearing A,0.374,-1.339214
Bearing A,0.375,-1.615579
Bearing A,0.376,-1.143118
Bearing A,0.377,-0.444491
Bearing A,0.378,-0.265367
Bearing A,0.379,0.573967
Bearing A,0.38,0.691454
Bearing A,0.381,0.741243
Bearing A,0.382,0.767304
Bearing A,0.383,0.935065
Bearing A,0.384,1.106818
Bearing A,0.385,0.793547
Bearing A,0.386,0.471225
Bearing A,0.387,0.616958
Bearing A,0.388,0.574183
Bearing A,0.389,0.978458
Bearing A,0.39,1.130543
Bearing A,0.391,0.626934
Bearing A,0.392,-0.246436
Bearing A,0.393,-0.681199
Bearing A,0.394,-1.018689
Bearing A,0.395,-1.321847
Bearing A,0.396,-1.159197
Bearing A,0.397,-0.144197
Bearing A,0.398,0.62629
Bearing A,0.399,0.701353
Bearing A,0.4,0.440521
Bearing A,0.401,0.788136
Bearing A,0.402,1.061508
Bearing A,0.403,1.486848
Bearing A,0.404,1.80516
Bearing A,0.405,1.39078
Bearing A,0.406,1.06708
Bearing A,0.407,0.753161
Bearing A,0.408,0.936357
Bearing A,0.409,1.072894
Bearing A,0.41,0.743526
Bearing A,0.411,0.554445
Bearing A,0.412,-0.131672
Bearing A,0.413,-0.711554
Bearing A,0.414,-1.142133
Bearing A,0.415,-1.251211
Bearing A,0.416,-0.997189
Bearing A,0.417,-0.36799
Bearing A,0.418,-0.031284
Bearing A,0.419,0.170825
Bearing A,0.42,0.594999
Bearing A,0.421,0.689019
Bearing A,0.422,1.251184
Bearing A,0.423,1.113357
Bearing A,0.424,1.407197
Bearing A,0.425,1.330741
Bearing A,0.426,1.076923
Bearing A,0.427,0.759923
Bearing A,0.428,0.742723
Bearing A,0.429,1.043896
Bearing A,0.43,1.242397
Bearing A,0.431,1.036525
Bearing A,0.432,0.274069
Bearing A,0.433,-0.327584
Bearing A,0.434,-1.022703
Bearing A,0.435,-0.999828
Bearing A,0.436,-0.899816
Bearing A,0.437,-0.956901
Bearing A,0.438,-0.453615
Bearing A,0.439,-0.035232
Bearing A,0.44,0.309924
Bearing A,0.441,0.546474
Bearing A,0.442,0.553589
Bearing A,0.443,0.710127
Bearing A,0.444,1.020599
Bearing A,0.445,0.805751
Bearing A,0.446,0.41188
Bearing A,0.447,0.299841
Bearing A,0.448,0.601978
Bearing A,0.449,0.960392
Bearing A,0.45,1.065827
Bearing A,0.451,0.346473
Bearing A,0.452,-0.052695
Bearing A,0.453,-0.982834
Bearing A,0.454,-1.253342
Bearing A,0.455,-1.297406
Bearing A,0.456,-0.952124
Bearing A,0.457,-0.431191
Bearing A,0.458,-0.292947
Bearing A,0.459,0.035407
Bearing A,0.46,0.321359
Bearing A,0.461,0.501774
Bearing A,0.462,0.763323
Bearing A,0.463,1.123688
Bearing A,0.464,1.195172
Bearing A,0.465,1.026406
Bearing A,0.466,1.033577
Bearing A,0.467,0.90861
Bearing A,0.468,0.910512
Bearing A,0.469,1.106248
Bearing A,0.47,1.201996
Bearing A,0.471,0.81874
Bearing A,0.472,-0.1028
Bearing A,0.473,-0.955483
Bearing A,0.474,-1.552114
Bearing A,0.475,-1.700287
Bearing A,0.476,-1.496032
Bearing A,0.477,-0.657884
Bearing A,0.478,-0.229436
Bearing A,0.479,-0.282214
Bearing A,0.48,0.027841
Bearing A,0.481,0.301627
Bearing A,0.482,0.658498
Bearing A,0.483,1.057762
Bearing A,0.484,1.408604
Bearing A,0.485,1.083431
Bearing A,0.486,0.956905
Bearing A,0.487,0.890504
Bearing A,0.488,0.694249
Bearing A,0.489,0.680806
Bearing A,0.49,0.888186
Bearing A,0.491,0.316861
Bearing A,0.492,-0.20781
Bearing A,0.493,-1.168372
Bearing A,0.494,-1.723874
Bearing A,0.495,-1.779851
Bearing A,0.496,-1.269241
Bearing A,0.497,-0.421803
Bearing A,0.498,-0.149249
Bearing A,0.499,0.140675
Bearing A,0.5,0.315587
Bearing A,0.501,0.545619
Bearing A,0.502,0.672254
Bearing A,0.503,0.851843
Bearing A,0.504,1.263994
Bearing A,0.505,0.873544
Bearing A,0.506,0.552707
Bearing A,0.507,0.483747
Bearing A,0.508,0.430382
Bearing A,0.509,0.553137
Bearing A,0.51,0.666023
Bearing A,0.511,0.216987
Bearing A,0.512,-0.575456
Bearing A,0.513,-1.231503
Bearing A,0.514,-1.823025
Bearing A,0.515,-1.926662
Bearing A,0.516,-1.650394
Bearing A,0.517,-0.684514
Bearing A,0.518,-0.31398
Bearing A,0.519,-0.275377
Bearing A,0.52,0.017759
Bearing A,0.521,0.386078
Bearing A,0.522,0.79287
Bearing A,0.523,1.208942
Bearing A,0.524,0.790053
Bearing A,0.525,0.876151
Bearing A,0.526,0.67791
Bearing A,0.527,0.48095
Bearing A,0.528,0.118672
Bearing A,0.529,0.284525
Bearing A,0.53,0.621757
Bearing A,0.531,0.507891
Bearing A,0.532,-0.062384
Bearing A,0.533,-1.029926
Bearing A,0.534,-1.710901
Bearing A,0.535,-2.009374
Bearing A,0.536,-1.431226
Bearing A,0.537,-0.920532
Bearing A,0.538,-0.280543
Bearing A,0.539,-0.317891
Bearing A,0.54,-0.178107
Bearing A,0.541,0.131861
Bearing A,0.542,0.681387
Bearing A,0.543,0.892369
Bearing A,0.544,0.657006
Bearing A,0.545,0.588823
Bearing A,0.546,0.36254
Bearing A,0.547,0.462095
Bearing A,0.548,0.33019
Bearing A,0.549,0.39516
Bearing A,0.55,0.392363
Bearing A,0.551,0.162721
Bearing A,0.552,-0.180028
Bearing A,0.553,-0.944341
Bearing A,0.554,-1.193643
Bearing A,0.555,-1.418965
Bearing A,0.556,-1.150686
Bearing A,0.557,-0.83545
Bearing A,0.558,-0.25209
Bearing A,0.559,0.078828
Bearing A,0.56,0.105761
Bearing A,0.561,0.697838
Bearing A,0.562,0.97707
Bearing A,0.563,1.103502
Bearing A,0.564,1.049268
Bearing A,0.565,1.042265
Bearing A,0.566,0.743805
Bearing A,0.567,0.540687
Bearing A,0.568,0.863104
Bearing A,0.569,0.618962
Bearing A,0.57,0.685424
Bearing A,0.571,0.602989
Bearing A,0.572,-0.082308
Bearing A,0.573,-1.225408
Bearing A,0.574,-1.594657
Bearing A,0.575,-1.8349
Bearing A,0.576,-1.544334
Bearing A,0.577,-0.499884
Bearing A,0.578,-0.049374
Bearing A,0.579,0.137724
Bearing A,0.58,0.565042
Bearing A,0.581,0.436718
Bearing A,0.582,0.645803
Bearing A,0.583,1.07152
Bearing A,0.584,1.033044
Bearing A,0.585,0.890797
Bearing A,0.586,0.604461
Bearing A,0.587,0.592464
Bearing A,0.588,0.74775
Bearing A,0.589,0.810837
Bearing A,0.59,0.962433
Bearing A,0.591,0.965287
Bearing A,0.592,-0.128665
Bearing A,0.593,-0.679529
Bearing A,0.594,-0.844656
Bearing A,0.595,-0.897807
Bearing A,0.596,-1.001204
Bearing A,0.597,-0.502522
Bearing A,0.598,0.275008
Bearing A,0.599,0.90693
Bearing A,0.6,0.533757
Bearing A,0.601,0.444766
Bearing A,0.602,0.588037
Bearing A,0.603,0.495117
Bearing A,0.604,0.813083
Bearing A,0.605,0.499648
Bearing A,0.606,0.291829
Bearing A,0.607,0.336413
Bearing A,0.608,0.519368
Bearing A,0.609,0.607689
Bearing A,0.61,0.551392
Bearing A,0.611,0.206548
Bearing A,0.612,-0.355995
Bearing A,0.613,-1.304054
Bearing A,0.614,-1.746
Bearing A,0.615,-1.282307
Bearing A,0.616,-1.481242
Bearing A,0.617,-0.890357
Bearing A,0.618,-0.51041
Bearing A,0.619,0.032226
Bearing A,0.62,0.4102
Bearing A,0.621,0.144976
Bearing A,0.622,0.403551
Bearing A,0.623,0.642784
Bearing A,0.624,0.857636
Bearing A,0.625,0.573226
Bearing A,0.626,0.500041
Bearing A,0.627,0.387392
Bearing A,0.628,0.752503
Bearing A,0.629,0.936479
Bearing A,0.63,0.6329
Bearing A,0.631,0.278923
Bearing A,0.632,-0.350783
Bearing A,0.633,-1.374177
Bearing A,0.634,-1.638853
Bearing A,0.635,-1.476193
Bearing A,0.636,-1.357706
Bearing A,0.637,-0.388057
Bearing A,0.638,0.017931
Bearing A,0.639,0.480847
Bearing A,0.64,0.289011
Bearing A,0.641,0.536048
Bearing A,0.642,0.743577
Bearing A,0.643,0.642396
Bearing A,0.644,1.086045
Bearing A,0.645,0.68257
Bearing A,0.646,0.336105
Bearing A,0.647,0.555286
Bearing A,0.648,0.172452
Bearing A,0.649,0.226597
Bearing A,0.65,0.584356
Bearing A,0.651,0.4627
Bearing A,0.652,-0.42102
Bearing A,0.653,-1.145449
Bearing A,0.654,-1.819972
Bearing A,0.655,-1.829198
Bearing A,0.656,-1.648202
Bearing A,0.657,-1.158474
Bearing A,0.658,-0.868736
Bearing A,0.659,-0.391319
Bearing A,0.66,-0.108465
Bearing A,0.661,-0.31967
Bearing A,0.662,-0.166483
Bearing A,0.663,0.592637
Bearing A,0.664,0.499296
Bearing A,0.665,0.232404
Bearing A,0.666,0.042076
Bearing A,0.667,0.278973
Bearing A,0.668,0.321605
Bearing A,0.669,0.685881
Bearing A,0.67,0.536692
Bearing A,0.671,0.169581
Bearing A,0.672,-0.784593
Bearing A,0.673,-1.68954
Bearing A,0.674,-1.852551
Bearing A,0.675,-1.593581
Bearing A,0.676,-1.241744
Bearing A,0.677,-0.880695
Bearing A,0.678,-0.666718
Bearing A,0.679,-0.312561
Bearing A,0.68,-0.174299
Bearing A,0.681,0.194002
Bearing A,0.682,0.453911
Bearing A,0.683,0.585429
Bearing A,0.684,0.557375
Bearing A,0.685,0.492357
Bearing A,0.686,0.044118
Bearing A,0.687,-0.011359
Bearing A,0.688,-0.168196
Bearing A,0.689,0.393004
Bearing A,0.69,0.702126
Bearing A,0.691,-0.080145
Bearing A,0.692,-0.522004
Bearing A,0.693,-0.871071
Bearing A,0.694,-1.400247
Bearing A,0.695,-1.878718
Bearing A,0.696,-1.505447
Bearing A,0.697,-1.005253
Bearing A,0.698,-0.344643
Bearing A,0.699,-0.358316
Bearing A,0.7,0.10354
Bearing A,0.701,0.113164
Bearing A,0.702,0.209477
Bearing A,0.703,0.484073
Bearing A,0.704,0.562561
Bearing A,0.705,0.037864
Bearing A,0.706,-0.133877
Bearing A,0.707,-0.082121
Bearing A,0.708,0.057411
Bearing A,0.709,0.393758
Bearing A,0.71,0.220791
Bearing A,0.711,0.034833
Bearing A,0.712,-0.794941
Bearing A,0.713,-1.856844
Bearing A,0.714,-1.831496
Bearing A,0.715,-2.008833
Bearing A,0.716,-1.324097
Bearing A,0.717,-0.596699
Bearing A,0.718,-0.179937
Bearing A,0.719,0.075163
Bearing A,0.72,-0.209926
Bearing A,0.721,0.166709
Bearing A,0.722,0.34636
Bearing A,0.723,0.491854
Bearing A,0.724,0.481815
Bearing A,0.725,0.166599
Bearing A,0.726,-0.0511
Bearing A,0.727,-0.105952
Bearing A,0.728,0.092285
Bearing A,0.729,0.253616
Bearing A,0.73,0.523147
Bearing A,0.731,0.282002
Bearing A,0.732,-0.221698
Bearing A,0.733,-1.034356
Bearing A,0.734,-1.294158
Bearing A,0.735,-1.493311
Bearing A,0.736,-1.241751
Bearing A,0.737,-0.609953
Bearing A,0.738,-0.073684
Bearing A,0.739,0.166393
Bearing A,0.74,0.362268
Bearing A,0.741,0.70184
Bearing A,0.742,0.641027
Bearing A,0.743,1.06955
Bearing A,0.744,1.038871
Bearing A,0.745,0.885478
Bearing A,0.746,0.546439
Bearing A,0.747,0.6222
Bearing A,0.748,0.524139
Bearing A,0.749,0.804203
Bearing A,0.75,1.14174
Bearing A,0.751,0.67064
Bearing A,0.752,0.065869
Bearing A,0.753,-0.530512
Bearing A,0.754,-0.982634
Bearing A,0.755,-1.267687
Bearing A,0.756,-1.008837
Bearing A,0.757,-0.891403
Bearing A,0.758,-0.046802
Bearing A,0.759,0.031436
Bearing A,0.76,-0.025191
Bearing A,0.761,0.650164
Bearing A,0.762,0.691789
Bearing A,0.763,0.705006
Bearing A,0.764,0.795219
Bearing A,0.765,0.797644
Bearing A,0.766,0.442953
Bearing A,0.767,0.332954
Bearing A,0.768,0.30365
Bearing A,0.769,0.506814
Bearing A,0.77,0.659647
Bearing A,0.771,0.36665
Bearing A,0.772,-0.264825
Bearing A,0.773,-0.934429
Bearing A,0.774,-1.557373
Bearing A,0.775,-1.478988
Bearing A,0.776,-1.179156
Bearing A,0.777,-0.5763
Bearing A,0.778,-0.045085
Bearing A,0.779,0.322116
Bearing A,0.78,0.515049
Bearing A,0.781,0.921953
Bearing A,0.782,0.787547
Bearing A,0.783,1.034942
Bearing A,0.784,1.012307
Bearing A,0.785,0.576326
Bearing A,0.786,0.799875
Bearing A,0.787,0.833909
Bearing A,0.788,0.622034
Bearing A,0.789,0.75602
Bearing A,0.79,0.774224
Bearing A,0.791,0.415672
Bearing A,0.792,-0.41773
Bearing A,0.793,-1.12959
Bearing A,0.794,-1.623061
Bearing A,0.795,-1.316029
Bearing A,0.796,-0.953315
Bearing A,0.797,-0.640876
Bearing A,0.798,-0.120225
Bearing A,0.799,0.237969
Bearing A,0.8,-0.007065
Bearing A,0.801,0.504265
Bearing A,0.802,0.855623
Bearing A,0.803,0.899134
Bearing A,0.804,1.153847
Bearing A,0.805,0.797121
Bearing A,0.806,0.386622
Bearing A,0.807,0.372832
Bearing A,0.808,0.479652
Bearing A,0.809,1.012553
Bearing A,0.81,0.938885
Bearing A,0.811,0.778395
Bearing A,0.812,-0.165793
Bearing A,0.813,-1.033738
Bearing A,0.814,-1.504674
Bearing A,0.815,-1.361127
Bearing A,0.816,-1.179553
Bearing A,0.817,-0.451167
Bearing A,0.818,-0.152651
Bearing A,0.819,0.232103
Bearing A,0.82,-0.025301
Bearing A,0.821,0.476524
Bearing A,0.822,0.786776
Bearing A,0.823,1.149916
Bearing A,0.824,1.366697
Bearing A,0.825,0.860564
Bearing A,0.826,0.644628
Bearing A,0.827,0.482759
Bearing A,0.828,0.975003
Bearing A,0.829,1.063529
Bearing A,0.83,1.202161
Bearing A,0.831,0.854498
Bearing A,0.832,0.290304
Bearing A,0.833,-0.594291
Bearing A,0.834,-0.820807
Bearing A,0.835,-1.062437
Bearing A,0.836,-0.433467
Bearing A,0.837,0.041507
Bearing A,0.838,0.650649
Bearing A,0.839,0.540017
Bearing A,0.84,0.573711
Bearing A,0.841,0.920643
Bearing A,0.842,0.981459
Bearing A,0.843,1.722606
Bearing A,0.844,1.65312
Bearing A,0.845,1.147756
Bearing A,0.846,0.693298
Bearing A,0.847,1.118367
Bearing A,0.848,0.896984
Bearing A,0.849,1.365008
Bearing A,0.85,1.359526
Bearing A,0.851,1.108806
Bearing A,0.852,0.370824
Bearing A,0.853,-0.773857
Bearing A,0.854,-1.610077
Bearing A,0.855,-1.732398
Bearing A,0.856,-0.970061
Bearing A,0.857,-0.566876
Bearing A,0.858,0.119327
Bearing A,0.859,0.154159
Bearing A,0.86,0.300509
Bearing A,0.861,0.464827
Bearing A,0.862,0.76682
Bearing A,0.863,0.989304
Bearing A,0.864,1.091487
Bearing A,0.865,0.9759
Bearing A,0.866,0.689736
Bearing A,0.867,0.932766
Bearing A,0.868,0.785308
Bearing A,0.869,0.977354
Bearing A,0.87,1.124798
Bearing A,0.871,0.612625
Bearing A,0.872,0.348508
Bearing A,0.873,-0.684819
Bearing A,0.874,-1.193269
Bearing A,0.875,-1.007919
Bearing A,0.876,-0.516524
Bearing A,0.877,0.005133
Bearing A,0.878,0.32466
Bearing A,0.879,0.857793
Bearing A,0.88,0.805029
Bearing A,0.881,1.154787
Bearing A,0.882,1.353905
Bearing A,0.883,0.964393
Bearing A,0.884,1.166069
Bearing A,0.885,1.233037
Bearing A,0.886,1.007502
Bearing A,0.887,0.997123
Bearing A,0.888,0.662254
Bearing A,0.889,1.265343
Bearing A,0.89,1.27082
Bearing A,0.891,1.081407
Bearing A,0.892,0.499933
Bearing A,0.893,-0.480948
Bearing A,0.894,-1.049567
Bearing A,0.895,-1.216568
Bearing A,0.896,-0.796768
Bearing A,0.897,-0.030566
Bearing A,0.898,0.230413
Bearing A,0.899,0.599945
Bearing A,0.9,1.149695
Bearing A,0.901,1.274552
Bearing A,0.902,1.396982
Bearing A,0.903,1.270787
Bearing A,0.904,1.232859
Bearing A,0.905,1.122629
Bearing A,0.906,0.980121
Bearing A,0.907,0.395249
Bearing A,0.908,0.655831
Bearing A,0.909,1.021013
Bearing A,0.91,1.106177
