x,y,label,pred,split
-10.5097,10.5791,Monocyte,Monocyte,train
9.2984,-6.2037,NK,NK,train
-14.5254,-0.9029,Neutrophil,Neutrophil,train
-12.9327,3.6361,Neutrophil,Neutrophil,train
-5.1645,-7.3588,Dendritic,Dendritic,train
-5.3174,-7.9576,Dendritic,Dendritic,test
22.9087,3.4614,B-cell,B-cell,train
17.9227,-3.4219,B-cell,B-cell,train
-2.3637,-11.5942,Erythrocyte,Erythrocyte,test
15.3431,3.4309,T-cell,T-cell,train
18.3789,4.4381,T-cell,T-cell,train
-9.6125,12.0313,Monocyte,Monocyte,train
22.9828,-3.7296,NK,NK,train
3.4257,-14.3359,Platelet,Platelet,train
-0.1655,-12.3698,Erythrocyte,Erythrocyte,test
17.8493,5.3135,T-cell,T-cell,test
11.4791,-2.0137,T-cell,T-cell,train
-13.6071,2.7643,Neutrophil,Neutrophil,train
-4.1973,-8.2726,Erythrocyte,Erythrocyte,train
-11.675,-8.7111,Dendritic,Dendritic,train
-9.2394,7.54,Monocyte,Monocyte,test
-9.3993,7.5111,Monocyte,Monocyte,test
6.5493,-18.1083,Erythrocyte,Erythrocyte,train
19.7788,0.4861,B-cell,B-cell,train
11.7797,-2.9973,T-cell,T-cell,train
-15.4374,0.0459,Neutrophil,Neutrophil,train
2.2312,-12.9868,Erythrocyte,Erythrocyte,train
13.0552,3.5612,T-cell,T-cell,test
-3.915,-2.7039,Dendritic,Dendritic,train
-0.0288,-13.7706,Erythrocyte,Erythrocyte,train
-9.8898,2.2265,Neutrophil,Neutrophil,train
18.4052,-2.3388,B-cell,B-cell,test
-13.4026,1.2541,Neutrophil,Neutrophil,train
-7.7501,10.146,Monocyte,Monocyte,test
-7.8698,8.6029,Monocyte,Monocyte,test
10.9211,-2.602,T-cell,T-cell,train
-6.206,7.8312,Monocyte,Monocyte,train
13.3871,-7.7643,NK,NK,test
-11.2599,10.1027,Monocyte,Monocyte,train
-12.9597,8.4863,Monocyte,Monocyte,train
16.0069,-8.6526,NK,NK,test
15.0532,1.0474,T-cell,T-cell,train
-0.4586,-16.3546,Erythrocyte,Erythrocyte,test
15.3147,4.0216,T-cell,T-cell,train
-12.0014,4.3933,Monocyte,Monocyte,train
18.907,-3.7803,T-cell,T-cell,train
-7.9947,-8.0078,Dendritic,Dendritic,train
19.1491,1.4738,B-cell,B-cell,train
0.4241,-10.6043,Erythrocyte,Erythrocyte,train
-13.777,-0.6293,Neutrophil,Neutrophil,train
-10.7591,14.3679,Monocyte,Monocyte,train
14.6869,-10.3656,Platelet,Platelet,train
13.8015,1.704,T-cell,T-cell,test
-12.2308,6.6828,Monocyte,Monocyte,train
-6.6952,7.0511,Monocyte,Monocyte,train
-14.4064,0.5132,Neutrophil,Neutrophil,train
15.5778,0.5967,T-cell,NK,train
-5.4016,-9.5899,Dendritic,Dendritic,train
-7.57,7.2474,Monocyte,Monocyte,train
0.4887,-13.254,Erythrocyte,Erythrocyte,train
16.0689,2.0656,T-cell,T-cell,train
12.1727,-9.2134,NK,NK,train
16.8631,2.4181,B-cell,B-cell,train
-12.3819,4.3447,Neutrophil,Neutrophil,test
16.8729,0.9102,B-cell,B-cell,train
16.5016,-2.5036,T-cell,T-cell,test
-12.7123,-11.805,Dendritic,Dendritic,train
8.6271,-13.674,Platelet,Platelet,test
1.5016,-12.883,Erythrocyte,Erythrocyte,train
-12.3359,10.8519,Monocyte,Monocyte,train
-15.0081,-0.4566,Neutrophil,Neutrophil,train
-8.6106,-9.6707,Dendritic,Dendritic,train
22.6369,-3.4441,NK,NK,train
0.5772,-13.8507,Erythrocyte,Erythrocyte,train
-11.4705,7.9337,Monocyte,Monocyte,test
17.3352,-9.0085,Platelet,Platelet,train
12.4813,4.0307,T-cell,T-cell,train
12.1375,-6.5943,T-cell,T-cell,test
-2.4061,-8.9855,Erythrocyte,Erythrocyte,train
-11.5849,4.6453,Neutrophil,Neutrophil,train
15.1819,-1.8999,T-cell,T-cell,test
22.3265,8.2101,B-cell,B-cell,train
13.7871,-3.6725,NK,NK,test
21.2335,-1.5133,T-cell,B-cell,test
12.5469,-0.1853,NK,NK,train
-7.4031,-8.1752,Dendritic,Dendritic,train
8.3997,-2.8055,T-cell,T-cell,train
11.8025,2.8583,T-cell,T-cell,train
1.9978,-16.8492,Erythrocyte,Erythrocyte,train
9.4623,-9.1754,Platelet,Platelet,train
6.095,-11.2552,Platelet,Platelet,train
19.5961,3.2102,B-cell,B-cell,test
-11.8936,-9.7064,Dendritic,Dendritic,train
8.8429,-1.1715,T-cell,T-cell,train
27.839,-1.1244,NK,NK,train
11.4937,2.8245,T-cell,B-cell,train
2.2913,-16.9282,Erythrocyte,Erythrocyte,train
-13.4438,0.6666,Neutrophil,Neutrophil,train
19.9804,6.159,B-cell,T-cell,train
-18.0389,0.9917,Neutrophil,Neutrophil,test
15.0511,6.8225,T-cell,T-cell,train
-14.1944,6.9055,Monocyte,Monocyte,train
15.64,2.141,T-cell,T-cell,train
16.098,-3.4134,B-cell,B-cell,train
13.7004,-0.8321,T-cell,NK,train
16.3136,-1.8184,T-cell,T-cell,train
18.1942,3.6759,B-cell,B-cell,train
-11.0308,9.377,Monocyte,Monocyte,test
8.0979,-14.2381,Platelet,Platelet,train
4.3893,-16.8044,Erythrocyte,Erythrocyte,train
11.5266,-6.7466,T-cell,T-cell,train
11.4857,-8.7136,NK,T-cell,test
9.4905,-2.6407,T-cell,T-cell,train
-10.0259,3.2467,Neutrophil,Neutrophil,train
-14.49,-3.9571,Neutrophil,Neutrophil,test
13.4782,1.9243,T-cell,T-cell,train
14.8192,6.5067,T-cell,NK,test
14.7634,-7.1937,Platelet,Platelet,train
18.7474,0.4382,B-cell,B-cell,test
14.0104,-0.14,T-cell,T-cell,test
13.8773,-5.5413,T-cell,NK,train
18.2872,-0.4296,B-cell,NK,train
-14.1117,8.7584,Monocyte,Monocyte,test
12.7906,-8.1313,NK,NK,train
6.6091,-9.521,Platelet,Platelet,train
10.9384,-0.7111,T-cell,T-cell,train
18.9618,1.2559,B-cell,B-cell,train
-7.5458,12.4065,Monocyte,Monocyte,train
-0.0441,-6.6585,Dendritic,Dendritic,train
-1.5593,-18.4276,Erythrocyte,Erythrocyte,test
12.834,-1.2701,T-cell,T-cell,test
-8.8353,10.2382,Monocyte,Monocyte,train
-8.4505,-9.4476,Dendritic,Dendritic,train
11.8877,-0.575,B-cell,T-cell,train
20.8706,3.2211,T-cell,T-cell,train
-12.5447,8.4786,Monocyte,Monocyte,train
-12.181,-12.6977,Dendritic,Dendritic,test
13.0486,-2.5239,T-cell,T-cell,train
23.8634,0.848,B-cell,B-cell,test
13.5634,-4.0533,Platelet,Platelet,train
14.0537,5.633,T-cell,T-cell,train
2.0784,-14.329,Erythrocyte,Erythrocyte,train
-14.918,-2.6971,Neutrophil,Neutrophil,train
3.2485,-17.7113,Erythrocyte,Erythrocyte,test
15.8502,0.4292,T-cell,T-cell,train
13.8195,-5.9586,T-cell,T-cell,train
16.0264,7.3277,T-cell,T-cell,test
16.7358,-0.8932,B-cell,B-cell,test
-0.0523,-14.1394,Erythrocyte,Erythrocyte,train
14.296,1.5751,T-cell,T-cell,train
-12.6861,11.2275,Monocyte,Monocyte,train
9.9466,-11.5651,Platelet,Platelet,train
17.2044,-1.6871,B-cell,B-cell,test
13.2263,-5.4249,Platelet,Platelet,train
13.0823,-8.2327,Platelet,Platelet,train
10.5185,-3.353,NK,T-cell,train
23.6405,4.5668,B-cell,B-cell,train
14.6834,1.786,B-cell,B-cell,train
12.2827,-9.1967,Platelet,Platelet,test
-14.026,0.2038,Neutrophil,Neutrophil,train
14.1796,-4.6441,T-cell,T-cell,test
11.8288,-6.6801,NK,NK,test
13.9642,1.445,T-cell,T-cell,test
1.3271,-15.6545,Erythrocyte,Erythrocyte,train
0.204,-15.3166,Erythrocyte,Erythrocyte,train
14.8642,0.3543,T-cell,T-cell,test
22.6666,-7.4141,NK,NK,train
18.3029,-4.5927,NK,NK,test
10.1014,-5.9596,T-cell,T-cell,train
25.482,1.6404,B-cell,NK,train
-4.6071,-8.4672,Erythrocyte,Erythrocyte,train
19.6748,11.1404,T-cell,NK,train
-8.7169,6.2713,Monocyte,Monocyte,test
15.11,0.1705,B-cell,B-cell,train
11.5789,5.5074,T-cell,T-cell,test
-8.9231,6.4134,Monocyte,Monocyte,train
1.3007,-16.4741,Erythrocyte,Erythrocyte,train
10.9569,0.9252,T-cell,B-cell,test
23.9388,-2.2866,NK,T-cell,train
15.0237,6.713,T-cell,NK,train
17.7075,-2.5887,B-cell,B-cell,test
-6.0091,-2.0416,Dendritic,Dendritic,test
7.0828,-20.9662,Erythrocyte,Erythrocyte,test
-11.0902,8.1529,Monocyte,Monocyte,test
3.8215,-16.6938,Erythrocyte,Erythrocyte,test
-0.1713,-8.2508,Erythrocyte,Erythrocyte,train
18.4353,0.0748,B-cell,B-cell,train
1.2787,-15.0046,Erythrocyte,Erythrocyte,train
-10.164,5.219,Monocyte,Monocyte,train
7.6678,-2.8206,T-cell,T-cell,train
11.7175,-3.8636,T-cell,T-cell,train
24.5598,4.0762,B-cell,B-cell,train
-15.3691,-0.0372,Neutrophil,Neutrophil,train
11.0464,5.4405,T-cell,T-cell,train
-9.1956,8.3503,Monocyte,Monocyte,train
11.0163,5.9829,T-cell,T-cell,train
5.9187,-11.0451,Platelet,Platelet,train
20.0155,6.8912,B-cell,B-cell,train
21.0952,5.7394,B-cell,B-cell,test
16.0269,3.4187,T-cell,T-cell,test
-7.5804,9.9061,Monocyte,Monocyte,train
0.512,-16.7123,Erythrocyte,Erythrocyte,test
14.8449,-3.0628,Platelet,Platelet,train
-6.5861,9.2253,Monocyte,Monocyte,test
11.318,-2.1236,T-cell,NK,train
-11.2835,8.7731,Monocyte,Monocyte,train
-18.4168,-4.688,Neutrophil,Neutrophil,train
8.6311,-7.6033,Platelet,Platelet,train
9.5152,-0.657,T-cell,T-cell,test
8.2181,-11.7298,Platelet,Platelet,train
-0.8764,-11.2668,Erythrocyte,Erythrocyte,test
21.6608,-1.7133,NK,NK,train
-9.5676,7.9,Monocyte,Monocyte,train
12.3104,-6.5485,T-cell,T-cell,test
26.0402,9.3139,B-cell,B-cell,train
16.4388,2.1019,B-cell,B-cell,train
-10.2354,0.1846,Neutrophil,Neutrophil,test
15.2533,3.2815,T-cell,T-cell,train
19.1662,4.2483,B-cell,B-cell,train
-8.6992,13.9867,Monocyte,Monocyte,train
-20.4144,-3.8913,Neutrophil,Neutrophil,train
15.6123,4.4445,T-cell,NK,train
20.24,2.61,B-cell,B-cell,test
23.0924,-0.087,NK,NK,train
5.7441,-23.422,Erythrocyte,Erythrocyte,train
14.5735,-4.3997,NK,NK,train
-3.6938,14.5318,Monocyte,Monocyte,train
3.9887,-19.0232,Erythrocyte,Erythrocyte,train
-8.288,13.5238,Monocyte,Monocyte,train
18.9194,4.3575,B-cell,B-cell,train
-10.0735,10.066,Monocyte,Monocyte,train
-14.9231,-2.7365,Neutrophil,Neutrophil,train
12.5764,-9.1009,Platelet,Platelet,test
-1.8721,-15.1169,Erythrocyte,Erythrocyte,test
13.159,2.3896,T-cell,T-cell,train
-8.6695,10.5521,Monocyte,Monocyte,train
13.1581,-4.3701,NK,NK,train
-12.2243,1.5589,Neutrophil,Neutrophil,test
12.2401,-3.7086,T-cell,T-cell,test
-15.1922,0.623,Neutrophil,Neutrophil,train
-10.7365,-0.5968,Neutrophil,Neutrophil,test
-6.6898,-7.5191,Dendritic,NK,train
18.7956,5.6798,B-cell,B-cell,test
-4.7609,-7.2402,Dendritic,Dendritic,test
10.2989,-8.5232,NK,NK,test
22.0305,8.8637,B-cell,B-cell,train
18.4271,3.7452,B-cell,B-cell,test
-8.3772,6.0734,Monocyte,Monocyte,train
-6.6706,10.9313,Monocyte,Monocyte,train
1.3918,-16.3142,Erythrocyte,Erythrocyte,test
12.5511,-10.2203,T-cell,T-cell,train
15.7565,-0.5464,T-cell,T-cell,test
23.0432,2.238,B-cell,B-cell,train
12.943,-0.4721,B-cell,B-cell,train
-10.4361,12.0595,Monocyte,Monocyte,test
19.2962,-7.4874,NK,NK,train
9.2129,-3.6179,NK,NK,train
14.1307,0.6273,T-cell,T-cell,train
-13.8609,6.744,Monocyte,Monocyte,train
16.7208,9.3586,T-cell,T-cell,train
19.9774,3.2342,B-cell,NK,test
-9.0948,6.0643,Neutrophil,Neutrophil,test
9.7989,-8.8943,Platelet,Platelet,train
15.7161,3.3612,T-cell,T-cell,train
13.6149,0.7989,B-cell,B-cell,train
18.7786,4.2588,B-cell,B-cell,test
-7.9114,6.9088,Monocyte,Monocyte,train
13.8981,1.0028,B-cell,B-cell,test
21.3418,4.5913,B-cell,B-cell,test
12.3712,-0.3979,B-cell,NK,test
-9.0399,-10.9638,Dendritic,Dendritic,train
7.1415,-12.8526,Platelet,Platelet,train
18.7488,1.504,B-cell,B-cell,test
4.3188,-8.8719,NK,NK,train
-7.1054,-7.8316,Dendritic,Dendritic,test
1.0429,-9.5572,Erythrocyte,Erythrocyte,train
19.7652,-2.1505,B-cell,B-cell,train
25.0214,11.2695,B-cell,B-cell,test
-8.0987,-10.3102,Dendritic,Dendritic,train
1.6986,-17.6786,Erythrocyte,Erythrocyte,train
-9.9024,12.4875,Monocyte,Monocyte,train
0.9078,-12.0179,Erythrocyte,Erythrocyte,train
-10.0903,-0.3634,Neutrophil,Neutrophil,train
-7.6187,11.3577,Monocyte,Monocyte,test
14.499,-2.6383,T-cell,T-cell,test
11.9953,-7.8281,NK,NK,train
9.7686,-6.7196,NK,NK,train
23.1839,0.4242,B-cell,B-cell,test
-14.3334,-1.28,Neutrophil,Neutrophil,train
-16.07,0.5673,Neutrophil,Neutrophil,train
17.5464,3.3919,B-cell,B-cell,train
-13.1184,-0.4192,Neutrophil,Neutrophil,train
12.011,-0.243,B-cell,B-cell,train
14.3561,-0.6897,T-cell,T-cell,train
12.9412,0.2078,T-cell,T-cell,train
14.1973,-10.7388,Platelet,Platelet,train
-13.0851,0.6256,Neutrophil,Neutrophil,test
15.7669,6.1482,T-cell,T-cell,train
14.2556,-1.1379,B-cell,B-cell,train
15.6582,1.0603,T-cell,T-cell,train
11.4709,-8.096,T-cell,T-cell,train
16.4616,-3.4782,NK,NK,train
13.1408,-3.0729,T-cell,NK,train
9.7589,-7.6889,Platelet,Platelet,train
-9.766,7.8409,Monocyte,Monocyte,train
11.2281,-8.9226,Platelet,Platelet,train
11.384,1.1527,B-cell,B-cell,train
-6.1666,-9.0049,Dendritic,Dendritic,train
19.13,9.9244,B-cell,B-cell,train
-12.5665,1.8862,Neutrophil,Neutrophil,train
11.9468,-4.2501,T-cell,T-cell,train
-7.9372,9.7932,Monocyte,Monocyte,train
11.2259,0.0986,T-cell,T-cell,train
-10.5647,9.1077,Monocyte,Monocyte,train
-12.1052,0.5879,Neutrophil,Neutrophil,test
-0.0967,-12.9113,Erythrocyte,Erythrocyte,train
-17.6462,-2.4041,Neutrophil,Neutrophil,train
17.8788,4.5833,T-cell,T-cell,train
-1.0336,-13.4222,Erythrocyte,Erythrocyte,train
-14.2766,-0.6547,Neutrophil,Neutrophil,test
-12.3016,9.3692,Monocyte,Monocyte,test
-2.0336,-13.8209,Erythrocyte,Erythrocyte,train
-9.6102,-9.2381,Dendritic,Dendritic,train
-15.036,-14.0715,Dendritic,Dendritic,test
0.8534,-13.9367,Erythrocyte,Erythrocyte,train
15.5459,-8.2075,NK,NK,train
11.0167,-5.3295,Platelet,Platelet,train
-18.3125,-4.1671,Neutrophil,Neutrophil,train
-13.0809,-9.8016,Dendritic,Dendritic,train
2.6686,-13.6244,Erythrocyte,Erythrocyte,train
-8.383,14.7657,Monocyte,Monocyte,train
-2.9412,-17.8616,Erythrocyte,Erythrocyte,train
17.5108,3.9859,T-cell,T-cell,test
-14.8875,-0.8118,Neutrophil,Neutrophil,test
-7.5183,13.2508,Monocyte,Monocyte,train
10.072,-1.3197,B-cell,B-cell,train
-14.0616,1.6144,Neutrophil,Neutrophil,train
-4.7934,-16.8241,Erythrocyte,Erythrocyte,train
0.6042,-11.2521,Erythrocyte,Erythrocyte,train
9.2387,3.8901,T-cell,T-cell,train
11.9878,-6.8786,Platelet,Platelet,train
17.1753,-2.6401,T-cell,T-cell,train
-8.5129,8.359,Monocyte,Monocyte,train
-9.1783,-8.0714,Dendritic,Dendritic,train
10.2116,-11.7364,Platelet,Platelet,train
3.2919,-16.9326,Erythrocyte,Erythrocyte,train
