gene,base_mean,log2fc,pvalue,padj
VEGF3,21.606,0.08434,0.61048774632112,1.0
WNT3,11.456,0.22867,1.0,1.0
ZEB3,91.118,0.0062,0.9783827285046669,1.0
ACTB4,882.441,0.18012,0.6793671491940245,1.0
BRCA4,170.376,0.00602,0.5433730648138745,1.0
CDK4,47.469,0.38521,0.2972643520553178,1.0
EGFR4,3.284,0.32369,0.5028645405717135,1.0
FOX4,83.6,0.00284,0.7258799825327158,1.0
GATA4,688.993,0.05224,1.0,1.0
HIF4,804.711,1.94724,3.1517056902729595e-05,0.0033764821196037766
IL4,104.232,0.21349,0.3741194039244686,1.0
JAK4,6.883,0.04541,1.0,1.0
KRAS4,50.732,0.18591,0.5432435436407874,1.0
LDH4,1552.534,-0.14922,0.6748830786294807,1.0
MYC4,3.067,-0.74876,0.694228418182524,1.0
NFK4,18.454,0.04157,0.8569739239955063,1.0
PTEN4,71.0,-0.46568,0.5161652373789622,1.0
RAS4,27.601,-0.33446,0.9446868951306047,1.0
STAT4,159.375,0.14122,0.5363223938831866,1.0
TP4,236.779,-0.06273,1.0,1.0
VEGF4,99.585,-0.54396,0.2263764630581745,1.0
WNT4,18.471,0.3579,0.6221392454990017,1.0
ZEB4,502.441,0.63807,0.07644464347793307,1.0
ACTB5,180.938,0.06513,1.0,1.0
BRCA5,8.544,0.29709,0.7625131145876757,1.0
CDK5,1.551,-0.66574,0.8281180513911429,1.0
EGFR5,674.647,0.63849,0.09255356718426021,1.0
FOX5,34.856,-0.13956,0.3486154006708884,1.0
GATA5,56.825,0.0098,0.41769696563447545,1.0
HIF5,113.259,0.2367,0.91106983502198,1.0
IL5,5.058,0.00378,0.9922015153888225,1.0
JAK5,1.742,0.09583,0.85605251461301,1.0
KRAS5,11.73,0.23467,0.7981330787593813,1.0
LDH5,69.144,0.15284,0.5999029068838311,1.0
MYC5,5.053,-0.01437,1.0,1.0
NFK5,90.337,-0.13748,0.5973022600793098,1.0
PTEN5,246.577,-0.01533,1.0,1.0
RAS5,63.764,0.14864,0.3707127334219854,1.0
STAT5,15.797,-0.24896,0.7640853535031816,1.0
TP5,262.946,0.27437,0.9113750520248217,1.0
VEGF5,19.747,0.10533,0.5620568043533273,1.0
WNT5,17.204,-0.00368,0.7664828036349749,1.0
ZEB5,809.962,-0.09162,0.6014563856244248,1.0
ACTB6,7869.239,-0.92838,0.02148652043045575,1.0
BRCA6,12.054,0.17715,0.8690180209380971,1.0
CDK6,139.102,0.17698,1.0,1.0
EGFR6,156.227,0.20611,0.7674817326009263,1.0
FOX6,2540.733,-0.21293,0.7723683045853389,1.0
GATA6,2.308,0.05885,1.0,1.0
HIF6,70.535,0.0452,0.46737214069299016,1.0
IL6,66.79,-0.24689,0.9807641221371997,1.0
JAK6,220.631,-0.20549,1.0,1.0
KRAS6,653.219,-0.29076,0.6743839338554766,1.0
LDH6,1471.917,0.14622,0.4149764660373742,1.0
MYC6,119.792,0.18736,0.37628408003758557,1.0
NFK6,90.932,-0.09643,0.7621072219250339,1.0
PTEN6,15.897,-0.26211,0.6278203674294324,1.0
RAS6,9.353,0.09601,1.0,1.0
STAT6,735.638,-0.18099,0.37730295595548996,1.0
TP6,24.436,0.43177,0.41869427535858955,1.0
VEGF6,394.636,0.06366,0.3851625392474198,1.0
WNT6,56.364,0.22285,0.8462293337002902,1.0
ZEB6,206.683,0.62295,0.19590405479017628,1.0
ACTB7,121.998,0.40846,0.2543662635227858,1.0
BRCA7,46.651,-0.10854,0.8579596129522332,1.0
CDK7,1660.934,0.06773,1.0,1.0
EGFR7,771.692,0.29004,0.530288580207409,1.0
FOX7,66.849,-0.98051,0.12051604418213961,1.0
GATA7,5.952,0.24809,0.8276327781618683,1.0
HIF7,161.792,0.02996,0.7579819224185936,1.0
IL7,7.251,0.44807,0.853752397723037,1.0
JAK7,2299.824,0.25051,0.3937746196572736,1.0
KRAS7,819.541,0.31396,0.6150556947966068,1.0
LDH7,2999.442,0.31369,0.23435071906397492,1.0
MYC7,0.584,-0.10179,0.5186548444421994,1.0
NFK7,12.469,-0.38229,0.3786483001789997,1.0
PTEN7,86.452,-0.50384,0.4147789434134279,1.0
RAS7,8.07,0.10977,0.6804964476425168,1.0
STAT7,17.402,0.1506,0.7507823343605436,1.0
TP7,335.297,-0.08542,0.4897222673821278,1.0
VEGF7,55.237,-0.17492,0.6708662313212377,1.0
WNT7,45.344,0.23732,0.5865775037383238,1.0
ZEB7,26.353,-0.27447,0.5299430277008746,1.0
ACTB8,48.994,0.35074,0.80381296940947,1.0
BRCA8,4.456,-0.17365,0.9055498728808565,1.0
CDK8,45293.593,-0.33328,0.49917432956857727,1.0
EGFR8,7.336,0.22565,0.6700931042015478,1.0
FOX8,1155.071,-0.29771,0.742122731770609,1.0
GATA8,15.297,-0.05482,0.9910547092186321,1.0
HIF8,0.521,0.18467,0.607799821250581,1.0
IL8,1239.468,0.08182,1.0,1.0
JAK8,0.871,0.82333,0.26181897786238917,1.0
KRAS8,70.144,0.31829,0.4634625168984044,1.0
LDH8,126.917,-0.05656,0.8513357434784464,1.0
MYC8,8.192,0.27145,0.5263985811232663,1.0
NFK8,12.919,-0.14521,0.5638628104310422,1.0
PTEN8,113.883,-0.06975,0.5120113005018042,1.0
RAS8,79.335,0.22597,0.52298337839701,1.0
STAT8,8.435,0.019,1.0,1.0
TP8,1404.664,0.04585,1.0,1.0
VEGF8,34.738,0.11215,0.6479272943969955,1.0
WNT8,457.674,0.57255,0.15421663630661497,1.0
ZEB8,233.004,0.17986,0.9856471484680503,1.0
ACTB9,21.432,0.14614,0.8308469968950796,1.0
BRCA9,276.439,0.02283,0.860821350143286,1.0
CDK9,287.517,0.66953,0.11774529432614501,1.0
EGFR9,254.156,0.50267,0.37523014009940436,1.0
FOX9,86.502,-0.23861,1.0,1.0
GATA9,1.906,0.24305,0.7240075413002943,1.0
HIF9,876.885,-0.59799,0.14741875341944968,1.0
IL9,407.032,-0.19098,0.5006263666095486,1.0
JAK9,55.688,0.4057,0.20633234482683657,1.0
KRAS9,753.449,0.89891,0.030167873518010452,1.0
LDH9,1.277,-0.67326,0.3818610340625974,1.0
MYC9,16.884,0.13625,0.4073628368239861,1.0
NFK9,805.921,0.19848,0.28315663742104247,1.0
PTEN9,33.57,0.18818,1.0,1.0
RAS9,4726.709,-0.27878,0.24442763323770877,1.0
STAT9,294.052,0.158,1.0,1.0
TP9,227.936,-0.08302,1.0,1.0
VEGF9,120.42,-0.07322,0.9342831734205382,1.0
WNT9,833.05,-0.12607,0.6656713447182657,1.0
ZEB9,1679.409,-0.10894,0.7954511154202774,1.0
ACTB10,50.583,-0.05941,0.6005475394978552,1.0
BRCA10,679.745,-0.26227,0.44460838637711186,1.0
CDK10,8.901,0.41403,0.36111181447052954,1.0
EGFR10,190.148,0.58948,0.2981034565154473,1.0
FOX10,70.451,0.18651,0.49012593279496774,1.0
GATA10,39.459,0.19589,1.0,1.0
HIF10,131.979,0.25891,0.8459678548871522,1.0
IL10,14.298,-0.19777,0.9091567543963007,1.0
JAK10,11.008,0.40512,0.2523074979326828,1.0
KRAS10,317.128,0.40011,0.459396675334615,1.0
LDH10,7265.856,0.14197,1.0,1.0
MYC10,406.338,0.55957,0.3188586174300082,1.0
NFK10,20.649,0.38693,0.6447355687330667,1.0
PTEN10,182.648,0.41778,0.5595842673352118,1.0
RAS10,1576.347,0.46666,0.21468481419662402,1.0
STAT10,164.415,-0.13177,1.0,1.0
TP10,3.198,-0.14561,1.0,1.0
VEGF10,15.415,0.11661,0.449036076965408,1.0
WNT10,140.202,0.22421,0.6277937102414858,1.0
ZEB10,134.731,0.40922,0.5755141173105143,1.0
ACTB11,6.952,-0.06493,1.0,1.0
BRCA11,209.011,0.07695,0.3817342184337032,1.0
CDK11,54.203,-0.0673,0.5360726983639451,1.0
EGFR11,15.785,-0.42431,0.4131804183381746,1.0
FOX11,630.559,0.46027,0.12942654613172302,1.0
GATA11,129.353,0.02195,0.643887008696743,1.0
HIF11,544.447,-0.1412,0.5806085736967689,1.0
IL11,2.255,-0.04602,1.0,1.0
JAK11,12.872,0.14953,1.0,1.0
KRAS11,127.094,-1.1498,0.02080144502106696,1.0
LDH11,33.481,-0.0959,1.0,1.0
MYC11,2192.362,0.20392,0.5745534187713675,1.0
NFK11,1.455,-0.03273,1.0,1.0
PTEN11,1.427,0.25239,0.4170383353873471,1.0
RAS11,5.428,-0.41435,0.5247099686029398,1.0
STAT11,49.994,-0.0122,0.8579391036096059,1.0
TP11,5.216,-0.18119,0.6783102124993243,1.0
VEGF11,23.416,-2.35456,0.00022640792159264923,0.020582538326604474
WNT11,43.243,0.27221,0.7982857115701054,1.0
ZEB11,24.723,0.11298,0.5317770111503556,1.0
ACTB12,11.891,0.13267,0.5855559496529797,1.0
BRCA12,10.528,0.36575,0.9696670425998847,1.0
CDK12,62.703,0.31403,0.32423461802867243,1.0
EGFR12,7.18,0.3495,0.3033946599339077,1.0
FOX12,38.534,0.19802,1.0,1.0
GATA12,13.982,2.61386,0.00017534824792241884,0.016311464923015707
HIF12,243.953,0.41981,0.4744267777441006,1.0
IL12,4.954,0.14784,0.9718739072998434,1.0
JAK12,44.594,-0.17645,0.45603899204788634,1.0
KRAS12,270.211,-0.13216,0.9571256014573073,1.0
LDH12,2.12,-0.15819,0.7713649414174251,1.0
MYC12,57.15,0.09923,0.6880514934279635,1.0
NFK12,314.444,-0.13933,0.8035239694767388,1.0
PTEN12,812.628,-0.0837,0.9382736014054278,1.0
RAS12,137.964,0.14746,0.724635434402082,1.0
STAT12,133.264,0.0168,1.0,1.0
TP12,41.2,-0.2119,0.6909729033817619,1.0
VEGF12,62.816,0.05649,0.590999258362279,1.0
WNT12,3.828,-0.11278,0.8390323020331003,1.0
ZEB12,37.739,0.33379,0.4382462510308251,1.0
ACTB13,154.855,0.12441,1.0,1.0
BRCA13,65.796,0.47841,0.6211514250773186,1.0
CDK13,65.206,0.08562,0.7483821159097375,1.0
EGFR13,43.15,0.33167,0.24723875222662603,1.0
FOX13,19.67,0.02639,1.0,1.0
GATA13,207.518,-0.0116,0.8994956620945477,1.0
HIF13,2130.236,0.158,0.7050126691771715,1.0
IL13,472.646,-0.22537,0.827900524760609,1.0
JAK13,57.869,-0.17107,0.8722428385771074,1.0
KRAS13,722.711,0.06253,1.0,1.0
LDH13,152.836,0.04391,0.4506162457034822,1.0
MYC13,96.345,0.41578,0.5227972697935357,1.0
NFK13,57.344,-0.28835,0.25243330764457494,1.0
PTEN13,915.448,-0.39213,0.47570806785244935,1.0
RAS13,7.638,0.04442,0.6493358140997382,1.0
STAT13,63.43,0.1137,0.6113579062519608,1.0
TP13,29.37,-0.03657,0.4699842184650563,1.0
VEGF13,11.662,-0.19167,1.0,1.0
WNT13,97.801,0.0392,1.0,1.0
ZEB13,132095.55,0.46248,0.2179596539137436,1.0
ACTB14,457.808,-1.30971,0.004832776834373657,0.32218512229157714
BRCA14,31.807,-0.26296,0.997982484962578,1.0
CDK14,7.12,-0.11153,0.5871277067708567,1.0
EGFR14,853.949,0.16748,0.420156654722149,1.0
FOX14,76.324,0.57464,0.32883565636200174,1.0
GATA14,510.944,0.01727,0.43945101200926323,1.0
HIF14,62.831,-0.02456,0.9407163849395026,1.0
IL14,29.3,0.05522,0.9819487972787919,1.0
JAK14,19.819,-0.13189,1.0,1.0
KRAS14,332.862,-0.0836,0.5822507783054366,1.0
LDH14,104.222,-0.61643,0.39654571805370054,1.0
MYC14,4277.215,-0.23195,0.5790107219844824,1.0
NFK14,100.782,0.30301,0.3649690793852869,1.0
PTEN14,28.91,-0.68225,0.31484576506847256,1.0
RAS14,778.517,0.4432,0.354188946306365,1.0
STAT14,233.96,0.32699,0.7967843546745427,1.0
TP14,56.774,0.44018,0.41890647422092697,1.0
VEGF14,214.815,-0.08502,1.0,1.0
WNT14,3.659,0.04667,0.9851621646584395,1.0
ZEB14,10.671,0.03318,1.0,1.0
ACTB15,9.244,-1.37524,0.10066126254465102,1.0
BRCA15,38.704,-0.0151,0.44246782631844517,1.0
CDK15,30.548,-0.36383,0.3600958872166082,1.0
EGFR15,10.608,-0.09771,0.7968887591174374,1.0
FOX15,156.697,-0.10746,0.5544234504418335,1.0
GATA15,69.6,0.36645,0.7775550066225276,1.0
HIF15,95.234,-0.17851,0.38342749241838536,1.0
IL15,8.446,0.16382,0.5890482284316922,1.0
JAK15,87.195,0.20342,0.3589559274572554,1.0
KRAS15,31.789,-0.31311,0.4611062839668224,1.0
LDH15,178.167,-0.21822,0.7652042966763081,1.0
MYC15,66.716,-0.40112,0.32653985976326344,1.0
NFK15,34.141,0.29129,0.4946667347242575,1.0
PTEN15,12.513,-0.43273,0.660163179495583,1.0
RAS15,825.106,0.15533,0.6404554123021196,1.0
STAT15,222.878,0.39436,0.5464486055827278,1.0
TP15,566.243,-0.11502,0.65736598172134,1.0
VEGF15,68.828,0.02304,1.0,1.0
WNT15,914.283,0.06366,0.9212424820565668,1.0
ZEB15,438.87,0.66936,0.08352375499295991,1.0
ACTB16,124.856,-0.02454,0.6088261814312506,1.0
BRCA16,17.535,0.25406,1.0,1.0
CDK16,9.554,1.63314,0.04790787124786305,1.0
EGFR16,343.801,0.6474,0.18075735889053385,1.0
FOX16,581.516,0.20899,0.9621660203371273,1.0
GATA16,1.946,0.16762,1.0,1.0
HIF16,465.88,-0.05899,0.38191104118839264,1.0
IL16,31.025,0.48393,0.3618952668820708,1.0
JAK16,242.822,-0.20104,0.4626734396120675,1.0
KRAS16,216.356,0.57793,0.25100748919849675,1.0
LDH16,20.778,-0.18189,1.0,1.0
MYC16,26.518,-0.05071,1.0,1.0
NFK16,642.509,-0.04104,1.0,1.0
PTEN16,75.146,-0.0178,0.7440058311673298,1.0
RAS16,29220.72,0.15817,0.30377952305592154,1.0
STAT16,980.071,-0.17356,0.7144168746801968,1.0
TP16,74.973,-0.0841,1.0,1.0
VEGF16,82.494,0.14789,0.8467871162451779,1.0
WNT16,3.593,-0.0711,0.7062380717466363,1.0
ZEB16,82.244,0.14602,0.7938524207067044,1.0
ACTB17,10.561,0.19212,1.0,1.0
BRCA17,37.262,0.19723,0.8195092563937701,1.0
CDK17,33.843,0.24747,1.0,1.0
EGFR17,321.979,0.0603,0.7109999084350939,1.0
FOX17,4.187,-0.30976,1.0,1.0
GATA17,1.259,0.05194,0.7541121980990398,1.0
HIF17,8.006,0.47102,0.6900695974520675,1.0
IL17,16.008,0.22654,1.0,1.0
JAK17,355.33,-0.30369,0.41008044533960003,1.0
KRAS17,73.437,0.00994,1.0,1.0
LDH17,978.473,-0.09128,1.0,1.0
MYC17,15.444,-0.28659,0.9955544722722274,1.0
NFK17,66.776,-0.26953,0.4482452001604326,1.0
PTEN17,567.029,-1.09826,0.02248793073597206,1.0
RAS17,17.856,-0.10395,0.515568057329798,1.0
STAT17,161.534,-0.34275,0.7433822907823339,1.0
TP17,122.572,0.26333,0.4217660567307463,1.0
VEGF17,11.975,-0.242,0.8189244702852517,1.0
WNT17,166.832,-0.26675,0.5634906262748518,1.0
ZEB17,38.785,-0.20674,0.5178080239665255,1.0
ACTB18,90.326,0.15714,0.849972789084925,1.0
BRCA18,810.811,0.16366,0.8190593759298304,1.0
CDK18,10.015,0.31077,0.2936230341860033,1.0
EGFR18,21.989,-0.497,0.39452919594390184,1.0
FOX18,30.941,-0.19161,0.38076743988110945,1.0
GATA18,150.273,0.14809,0.6683674655495686,1.0
HIF18,470.934,0.04227,0.8780303483439683,1.0
IL18,4.083,-0.11517,1.0,1.0
JAK18,164.276,0.23237,0.3554083157563922,1.0
KRAS18,24.523,-0.3968,0.35183409256028375,1.0
LDH18,939.443,-0.16668,0.920508407002922,1.0
MYC18,142.983,1.13016,0.013237474578259805,0.8022711865612003
NFK18,136.2,0.09236,0.7104573283682643,1.0
PTEN18,339.143,0.00358,1.0,1.0
RAS18,256.806,-0.0438,1.0,1.0
STAT18,408.391,-0.27432,0.6499425404928904,1.0
TP18,136.434,0.08572,0.6914089046525308,1.0
VEGF18,42.511,-0.08408,0.4884706583154236,1.0
WNT18,17.694,0.51063,0.3374035534271103,1.0
ZEB18,117.44,0.27169,0.7277284269574509,1.0
ACTB19,1057.477,-0.09814,0.7547002428451965,1.0
BRCA19,26.887,-0.10069,0.8793351675716186,1.0
CDK19,360.736,0.14823,0.8856902826396249,1.0
EGFR19,115.477,-0.05508,0.9861373667571659,1.0
FOX19,7.331,-0.36138,0.3063308664912651,1.0
GATA19,24.371,-0.40046,0.4759273637248169,1.0
HIF19,11.795,-0.26108,0.31588709938049664,1.0
IL19,254.889,-0.01306,1.0,1.0
JAK19,2.053,0.11613,1.0,1.0
KRAS19,501.866,0.45903,0.3148251167420894,1.0
LDH19,98.684,0.14641,0.6148456215866552,1.0
MYC19,67.696,-0.40179,0.4382189419761218,1.0
NFK19,14.968,-0.29107,0.5553437150984074,1.0
PTEN19,551.888,-0.00453,1.0,1.0
RAS19,913.912,0.14289,0.7664977922619896,1.0
STAT19,1069.274,-0.17569,1.0,1.0
TP19,148.33,0.07886,1.0,1.0
VEGF19,4.959,0.07807,0.38396521275321766,1.0
WNT19,3.084,0.28161,0.833206130111535,1.0
ZEB19,346.456,-0.08056,1.0,1.0
ACTB20,3.842,0.30386,0.9180602430232349,1.0
BRCA20,795.528,-0.068,0.7210709759315518,1.0
CDK20,74.638,-0.15521,0.8382898126062939,1.0
EGFR20,8.619,-0.21005,0.645940533389887,1.0
FOX20,12.996,0.14163,0.930937720400178,1.0
GATA20,745.555,-0.30121,0.7429350327065272,1.0
HIF20,15.729,-0.03178,0.43361888613975047,1.0
IL20,8.554,0.1811,1.0,1.0
JAK20,797.671,-0.12389,0.6778960857263892,1.0
KRAS20,13.861,-0.31114,0.7716046197138976,1.0
LDH20,72.575,0.53787,0.41853192395816513,1.0
MYC20,3.165,-0.35226,0.9351410194491152,1.0
NFK20,1.597,0.38705,0.49521197571800013,1.0
PTEN20,47.572,-0.04984,1.0,1.0
RAS20,41.396,0.23333,0.6273695346748766,1.0
STAT20,194.358,0.37741,0.5431365824709409,1.0
TP20,48.453,0.37003,0.22204349971791723,1.0
VEGF20,21.124,0.03072,1.0,1.0
WNT20,31.735,0.04431,0.7439672754900208,1.0
ZEB20,4.005,0.21926,1.0,1.0
ACTB21,18.939,-0.29442,1.0,1.0
BRCA21,337.694,0.34669,0.625824704888368,1.0
CDK21,22.475,0.3812,0.7903845694195927,1.0
EGFR21,27.423,0.55627,0.5987090989488388,1.0
FOX21,908.585,0.22355,0.39325250070886114,1.0
GATA21,954.711,0.43631,0.2724536341142895,1.0
HIF21,1.557,0.02669,0.9781098044396483,1.0
IL21,0.721,0.34007,1.0,1.0
JAK21,10.321,0.08291,0.8415949633659845,1.0
KRAS21,344.644,0.29803,0.7411470105925719,1.0
LDH21,232.897,0.13523,0.682477363956017,1.0
MYC21,218.91,-0.13565,1.0,1.0
NFK21,305.389,0.13291,0.3429911314889615,1.0
PTEN21,6.235,0.0232,1.0,1.0
RAS21,1470.708,-0.39774,0.5388774932432874,1.0
STAT21,14.878,0.05475,1.0,1.0
TP21,468.463,0.02147,1.0,1.0
VEGF21,1.47,0.22264,1.0,1.0
WNT21,6.47,0.1089,1.0,1.0
ZEB21,15.737,0.19689,0.6639582269552918,1.0
ACTB22,27.917,-0.40097,0.22801247648965728,1.0
BRCA22,188.041,0.10485,0.9144236855210511,1.0
CDK22,42.539,0.29834,0.9280972602830743,1.0
EGFR22,133.915,-0.00788,0.8149471350338849,1.0
FOX22,1210.392,0.12449,0.45730548748971955,1.0
GATA22,212.444,-0.02505,1.0,1.0
HIF22,91.442,0.15307,1.0,1.0
IL22,158.565,0.45936,0.4274618999140721,1.0
JAK22,1232.053,0.44712,0.4430106240149789,1.0
KRAS22,89.843,-0.12457,1.0,1.0
LDH22,768.139,0.24308,0.33284760697592636,1.0
MYC22,8.807,-0.12818,1.0,1.0
NFK22,122.423,0.09797,0.46462365923420945,1.0
PTEN22,53.828,0.0028,1.0,1.0
RAS22,1.601,-0.32327,1.0,1.0
STAT22,12.865,0.35659,0.683137455372553,1.0
TP22,7.278,-0.08435,0.8304116898057037,1.0
VEGF22,43.053,0.04541,1.0,1.0
WNT22,15.682,0.1662,0.4285160442598288,1.0
ZEB22,5.44,0.59459,0.41927369293241246,1.0
ACTB23,7494.164,0.20618,0.48742852147391086,1.0
BRCA23,126.256,0.26796,0.318505153133775,1.0
CDK23,20.522,0.0778,1.0,1.0
EGFR23,288.956,0.22601,0.26844718121317884,1.0
FOX23,111.4,-0.25578,0.7291744855104033,1.0
GATA23,390.049,-0.22073,0.6739792053771748,1.0
HIF23,19.324,0.07286,1.0,1.0
IL23,30.555,0.03197,0.9607652965714188,1.0
JAK23,9.685,0.62811,0.37726939508102525,1.0
KRAS23,61.843,0.4654,0.26460357966041204,1.0
LDH23,204.699,0.18395,0.5330006237191866,1.0
MYC23,269.74,-0.12928,0.9725404953940933,1.0
NFK23,289.629,-0.04634,1.0,1.0
PTEN23,1.118,-0.39019,1.0,1.0
RAS23,71.476,-0.23698,0.9358771856121678,1.0
STAT23,211.478,-0.51999,0.42331402069692414,1.0
TP23,71.207,0.15141,1.0,1.0
VEGF23,95.17,-0.00865,0.7715603290892711,1.0
WNT23,465.967,-0.11431,0.7241229746387254,1.0
ZEB23,55.285,-0.49164,0.580451144623949,1.0
ACTB24,469.1,0.48134,0.2347993290857342,1.0
BRCA24,594.612,-0.26252,0.751027569723118,1.0
CDK24,182.238,0.12015,0.524006341956691,1.0
EGFR24,23.242,0.15453,1.0,1.0
FOX24,44.386,0.08424,1.0,1.0
GATA24,260.225,-0.10484,0.6409258548694123,1.0
HIF24,11.664,-0.60137,0.24660261630689537,1.0
IL24,348.721,0.3688,0.3384371663293658,1.0
JAK24,0.747,0.13487,1.0,1.0
KRAS24,914.321,0.40946,0.17174292059710083,1.0
LDH24,35.681,-0.21897,1.0,1.0
MYC24,2135.841,-0.04664,1.0,1.0
NFK24,5145.711,-0.24965,0.34992998170084305,1.0
PTEN24,5.291,0.26384,0.871419244802352,1.0
RAS24,5.284,0.09438,1.0,1.0
STAT24,3.425,-0.48738,0.44216641603537415,1.0
TP24,19.808,0.22739,0.4877487431130031,1.0
VEGF24,0.714,0.0712,0.936794518440687,1.0
WNT24,0.896,-0.0806,0.8727742306676253,1.0
ZEB24,75.203,-0.44977,0.6503919510158795,1.0
ACTB25,54.68,-0.3233,0.7400692083487385,1.0
BRCA25,64.575,0.3842,0.4251003564766229,1.0
CDK25,45.6,0.09882,0.9449217041035368,1.0
EGFR25,44.334,-0.2851,0.9243622100381186,1.0
FOX25,280.127,0.2057,0.8822153736915487,1.0
GATA25,80.392,-0.16977,0.8064262168067833,1.0
HIF25,97.552,-0.31902,0.35795426622502535,1.0
IL25,105.658,-0.29907,0.5962726848792193,1.0
JAK25,101.205,-0.02886,0.8421509237515252,1.0
KRAS25,82.169,0.37114,0.4462344797680134,1.0
LDH25,6.853,0.15531,0.6266137861627795,1.0
MYC25,5.958,-0.20254,0.5032827517697742,1.0
NFK25,4.647,0.19677,1.0,1.0
PTEN25,14.088,0.02986,0.6814234396965495,1.0
RAS25,97.651,0.19971,0.8030962440904288,1.0
STAT25,146.747,0.17412,0.710004143251072,1.0
TP25,63.445,0.24599,1.0,1.0
VEGF25,3.99,0.06999,1.0,1.0
WNT25,118.633,0.11628,0.40909563589812603,1.0
ZEB25,319.732,-0.159,0.9334704442224925,1.0
ACTB26,5.462,0.21385,0.889663401048714,1.0
BRCA26,4449.041,-0.13305,0.9712620669743134,1.0
CDK26,6.653,-0.01205,0.546872278087394,1.0
EGFR26,5.914,0.01449,0.5181824941409191,1.0
FOX26,93.883,-0.33448,0.565114687452034,1.0
GATA26,3.634,-0.14186,1.0,1.0
HIF26,295.667,-0.57851,0.323729481349363,1.0
IL26,20.964,0.02319,0.9220194603496864,1.0
JAK26,755.522,0.00072,0.46610889028979563,1.0
KRAS26,8.282,0.2518,1.0,1.0
LDH26,989.5,-0.20619,0.7839672097536248,1.0
MYC26,18.417,-0.0083,1.0,1.0
NFK26,102.757,1.66139,0.0024446450084492292,0.17461750060351638
PTEN26,942.301,-0.2015,0.3991936955323279,1.0
RAS26,45.737,0.33471,0.45187193997358344,1.0
STAT26,2.435,0.33424,0.7657999915905375,1.0
TP26,586.714,0.01232,0.441211986750123,1.0
VEGF26,2446.647,-0.16972,0.9543793282523416,1.0
WNT26,10.534,0.05663,1.0,1.0
ZEB26,7.888,-0.43037,0.34602077512212864,1.0
ACTB27,788.741,0.22564,0.5028569912131806,1.0
BRCA27,56.941,0.22155,0.8148350403291478,1.0
