model,seed,epoch,split,loss,accuracy,lr
ResNet-50,1,21,val,0.60426,0.81519,0.001
ResNet-50,1,22,val,0.57881,0.82947,0.001
ResNet-50,1,23,val,0.5291,0.83523,0.001
ResNet-50,1,24,val,0.51655,0.83284,0.001
ResNet-50,1,25,val,0.46624,0.84485,0.0003
ResNet-50,1,26,val,0.4501,0.84986,0.0003
ResNet-50,1,27,val,0.40034,0.8628,0.0003
ResNet-50,1,28,val,0.35735,0.86283,0.0003
ResNet-50,1,29,val,0.34434,0.87123,0.0003
ResNet-50,1,30,val,0.35208,0.86581,0.0003
ResNet-50,1,31,val,0.33211,0.8661,0.0003
ResNet-50,1,32,val,0.34443,0.87699,0.0003
ResNet-50,1,33,val,0.32,0.88887,0.0003
ResNet-50,1,34,val,0.28177,0.88548,0.0003
ResNet-50,1,35,val,0.29046,0.8872,0.0003
ResNet-50,1,36,val,0.23976,0.89191,0.0003
ResNet-50,1,37,val,0.25505,0.89913,0.0003
ResNet-50,1,38,val,0.26492,0.89225,0.0003
ResNet-50,1,39,val,0.2341,0.8921,0.0003
ResNet-50,1,40,val,0.2225,0.90207,0.0001
ResNet-50,1,41,val,0.21482,0.91092,0.0001
ResNet-50,1,42,val,0.19211,0.89869,0.0001
ResNet-50,1,43,val,0.21634,0.91191,0.0001
ResNet-50,1,44,val,0.21249,0.90419,0.0001
ResNet-50,1,45,val,0.17674,0.91278,0.0001
ResNet-50,1,46,val,0.18044,0.90965,0.0001
ResNet-50,1,47,val,0.17884,0.91189,0.0001
ResNet-50,1,48,val,0.1902,0.91457,0.0001
ResNet-50,1,49,val,0.18177,0.90417,0.0001
ResNet-50,1,50,val,0.17345,0.91754,0.0001
ResNet-50,1,51,val,0.18123,0.91297,0.0001
ResNet-50,1,52,val,0.16108,0.91196,3e-05
ResNet-50,1,53,val,0.17202,0.92267,3e-05
ResNet-50,1,54,val,0.18659,0.90674,3e-05
ResNet-50,1,55,val,0.18202,0.91855,3e-05
ResNet-50,1,56,val,0.15637,0.91225,3e-05
ResNet-50,1,57,val,0.16421,0.91696,3e-05
ResNet-50,1,58,val,0.16228,0.91541,3e-05
ResNet-50,1,59,val,0.13759,0.92251,3e-05
ResNet-50,1,60,val,0.16608,0.92602,3e-05
ResNet-50,2,1,train,2.15605,0.45726,0.001
ResNet-50,2,2,train,1.97989,0.49009,0.001
ResNet-50,2,3,train,1.81745,0.5099,0.001
ResNet-50,2,4,train,1.67916,0.55019,0.001
ResNet-50,2,5,train,1.53258,0.58587,0.001
ResNet-50,2,6,train,1.40217,0.61407,0.001
ResNet-50,2,7,train,1.25961,0.62124,0.001
ResNet-50,2,8,train,1.18653,0.65021,0.001
ResNet-50,2,9,train,1.07442,0.68176,0.001
ResNet-50,2,10,train,0.98675,0.68613,0.001
ResNet-50,2,11,train,0.91312,0.68985,0.001
ResNet-50,2,12,train,0.84835,0.7124,0.001
ResNet-50,2,13,train,0.78642,0.73574,0.001
ResNet-50,2,14,train,0.70121,0.74072,0.001
ResNet-50,2,15,train,0.66361,0.75722,0.001
ResNet-50,2,16,train,0.58854,0.77517,0.001
ResNet-50,2,17,train,0.55987,0.8006,0.001
ResNet-50,2,18,train,0.52262,0.80128,0.001
ResNet-50,2,19,train,0.46457,0.81372,0.001
ResNet-50,2,20,train,0.42785,0.80517,0.001
ResNet-50,2,21,train,0.41265,0.83211,0.001
ResNet-50,2,22,train,0.35709,0.84342,0.001
ResNet-50,2,23,train,0.35047,0.84108,0.001
ResNet-50,2,24,train,0.3138,0.84602,0.001
ResNet-50,2,25,train,0.29923,0.86924,0.0003
ResNet-50,2,26,train,0.2677,0.87002,0.0003
ResNet-50,2,27,train,0.2654,0.87037,0.0003
ResNet-50,2,28,train,0.23522,0.87043,0.0003
ResNet-50,2,29,train,0.24536,0.88056,0.0003
ResNet-50,2,30,train,0.18965,0.88455,0.0003
ResNet-50,2,31,train,0.19868,0.88125,0.0003
ResNet-50,2,32,train,0.18015,0.88764,0.0003
ResNet-50,2,33,train,0.14651,0.88477,0.0003
ResNet-50,2,34,train,0.17897,0.88989,0.0003
ResNet-50,2,35,train,0.13914,0.9115,0.0003
ResNet-50,2,36,train,0.14297,0.90837,0.0003
ResNet-50,2,37,train,0.1179,0.90793,0.0003
ResNet-50,2,38,train,0.14162,0.90472,0.0003
ResNet-50,2,39,train,0.11284,0.91506,0.0003
ResNet-50,2,40,train,0.10296,0.91389,0.0001
ResNet-50,2,41,train,0.11229,0.92057,0.0001
ResNet-50,2,42,train,0.09864,0.91862,0.0001
ResNet-50,2,43,train,0.09725,0.92742,0.0001
ResNet-50,2,44,train,0.09591,0.92928,0.0001
ResNet-50,2,45,train,0.09397,0.9216,0.0001
ResNet-50,2,46,train,0.08912,0.93069,0.0001
ResNet-50,2,47,train,0.10227,0.93343,0.0001
ResNet-50,2,48,train,0.07652,0.9262,0.0001
ResNet-50,2,49,train,0.07508,0.93189,0.0001
ResNet-50,2,50,train,0.08158,0.93989,0.0001
ResNet-50,2,51,train,0.08808,0.9356,0.0001
ResNet-50,2,52,train,0.07788,0.93254,3e-05
ResNet-50,2,53,train,0.06122,0.93409,3e-05
ResNet-50,2,54,train,0.04966,0.93347,3e-05
ResNet-50,2,55,train,0.08421,0.93289,3e-05
ResNet-50,2,56,train,0.06094,0.95497,3e-05
ResNet-50,2,57,train,0.06581,0.94347,3e-05
ResNet-50,2,58,train,0.05664,0.94461,3e-05
ResNet-50,2,59,train,0.08678,0.93644,3e-05
ResNet-50,2,60,train,0.06297,0.93451,3e-05
ResNet-50,2,1,val,2.2692,0.45866,0.001
ResNet-50,2,2,val,2.05201,0.49164,0.001
ResNet-50,2,3,val,1.9536,0.5046,0.001
ResNet-50,2,4,val,1.7728,0.54939,0.001
ResNet-50,2,5,val,1.70553,0.57975,0.001
ResNet-50,2,6,val,1.56095,0.60112,0.001
ResNet-50,2,7,val,1.4792,0.61847,0.001
ResNet-50,2,8,val,1.37305,0.64524,0.001
ResNet-50,2,9,val,1.30282,0.67,0.001
ResNet-50,2,10,val,1.2118,0.68113,0.001
ResNet-50,2,11,val,1.08481,0.67928,0.001
ResNet-50,2,12,val,1.03708,0.70037,0.001
ResNet-50,2,13,val,0.95566,0.71966,0.001
ResNet-50,2,14,val,0.89871,0.73209,0.001
ResNet-50,2,15,val,0.83667,0.74482,0.001
ResNet-50,2,16,val,0.81427,0.76092,0.001
ResNet-50,2,17,val,0.75377,0.78089,0.001
ResNet-50,2,18,val,0.69089,0.78155,0.001
ResNet-50,2,19,val,0.66021,0.79475,0.001
ResNet-50,2,20,val,0.62504,0.79095,0.001
ResNet-50,2,21,val,0.62368,0.81984,0.001
ResNet-50,2,22,val,0.5414,0.82021,0.001
ResNet-50,2,23,val,0.51118,0.82131,0.001
ResNet-50,2,24,val,0.49736,0.82746,0.001
ResNet-50,2,25,val,0.4603,0.84481,0.0003
ResNet-50,2,26,val,0.42751,0.84721,0.0003
ResNet-50,2,27,val,0.399,0.85084,0.0003
ResNet-50,2,28,val,0.41905,0.85456,0.0003
ResNet-50,2,29,val,0.38954,0.8608,0.0003
ResNet-50,2,30,val,0.36747,0.86923,0.0003
ResNet-50,2,31,val,0.34463,0.85933,0.0003
ResNet-50,2,32,val,0.30791,0.86428,0.0003
ResNet-50,2,33,val,0.31966,0.86153,0.0003
ResNet-50,2,34,val,0.30916,0.87079,0.0003
ResNet-50,2,35,val,0.3207,0.87859,0.0003
ResNet-50,2,36,val,0.26745,0.88002,0.0003
ResNet-50,2,37,val,0.2265,0.87477,0.0003
ResNet-50,2,38,val,0.25625,0.87975,0.0003
ResNet-50,2,39,val,0.25416,0.89295,0.0003
ResNet-50,2,40,val,0.23058,0.88791,0.0001
ResNet-50,2,41,val,0.2322,0.88779,0.0001
ResNet-50,2,42,val,0.27299,0.8936,0.0001
ResNet-50,2,43,val,0.23109,0.89632,0.0001
ResNet-50,2,44,val,0.24401,0.90359,0.0001
ResNet-50,2,45,val,0.23392,0.89246,0.0001
ResNet-50,2,46,val,0.18416,0.90641,0.0001
ResNet-50,2,47,val,0.19968,0.90903,0.0001
ResNet-50,2,48,val,0.19336,0.89857,0.0001
ResNet-50,2,49,val,0.20513,0.90831,0.0001
ResNet-50,2,50,val,0.17238,0.91037,0.0001
ResNet-50,2,51,val,0.18331,0.91154,0.0001
ResNet-50,2,52,val,0.20041,0.90663,3e-05
ResNet-50,2,53,val,0.16623,0.90707,3e-05
ResNet-50,2,54,val,0.1966,0.90584,3e-05
ResNet-50,2,55,val,0.14302,0.90634,3e-05
ResNet-50,2,56,val,0.15406,0.9198,3e-05
ResNet-50,2,57,val,0.15706,0.91607,3e-05
ResNet-50,2,58,val,0.16085,0.91358,3e-05
ResNet-50,2,59,val,0.1804,0.90389,3e-05
ResNet-50,2,60,val,0.18904,0.90762,3e-05
ResNet-50,3,1,train,2.20291,0.43509,0.001
ResNet-50,3,2,train,2.05614,0.47883,0.001
ResNet-50,3,3,train,1.91401,0.51229,0.001
ResNet-50,3,4,train,1.80206,0.52471,0.001
ResNet-50,3,5,train,1.65549,0.55666,0.001
ResNet-50,3,6,train,1.56414,0.55638,0.001
ResNet-50,3,7,train,1.47217,0.59741,0.001
ResNet-50,3,8,train,1.35835,0.60771,0.001
ResNet-50,3,9,train,1.26135,0.63407,0.001
ResNet-50,3,10,train,1.18761,0.64561,0.001
ResNet-50,3,11,train,1.11356,0.65366,0.001
ResNet-50,3,12,train,1.0685,0.67221,0.001
ResNet-50,3,13,train,0.97475,0.68653,0.001
ResNet-50,3,14,train,0.90779,0.70391,0.001
ResNet-50,3,15,train,0.86538,0.72512,0.001
ResNet-50,3,16,train,0.83193,0.73738,0.001
ResNet-50,3,17,train,0.7613,0.74094,0.001
ResNet-50,3,18,train,0.70511,0.75381,0.001
ResNet-50,3,19,train,0.65589,0.75711,0.001
ResNet-50,3,20,train,0.61815,0.75808,0.001
ResNet-50,3,21,train,0.58173,0.77964,0.001
ResNet-50,3,22,train,0.55115,0.79456,0.001
ResNet-50,3,23,train,0.52302,0.7992,0.001
ResNet-50,3,24,train,0.46286,0.80635,0.001
ResNet-50,3,25,train,0.43114,0.83809,0.0003
ResNet-50,3,26,train,0.42681,0.83477,0.0003
ResNet-50,3,27,train,0.40463,0.84953,0.0003
ResNet-50,3,28,train,0.36738,0.84,0.0003
ResNet-50,3,29,train,0.34865,0.84868,0.0003
ResNet-50,3,30,train,0.34511,0.85173,0.0003
ResNet-50,3,31,train,0.32196,0.85371,0.0003
ResNet-50,3,32,train,0.29094,0.86122,0.0003
ResNet-50,3,33,train,0.28249,0.87576,0.0003
ResNet-50,3,34,train,0.28393,0.87989,0.0003
ResNet-50,3,35,train,0.27363,0.87705,0.0003
ResNet-50,3,36,train,0.21272,0.88861,0.0003
ResNet-50,3,37,train,0.22262,0.87088,0.0003
ResNet-50,3,38,train,0.25194,0.89411,0.0003
ResNet-50,3,39,train,0.18801,0.8945,0.0003
ResNet-50,3,40,train,0.19698,0.90179,0.0001
ResNet-50,3,41,train,0.18205,0.89332,0.0001
ResNet-50,3,42,train,0.17463,0.89646,0.0001
ResNet-50,3,43,train,0.16425,0.9066,0.0001
ResNet-50,3,44,train,0.16706,0.90766,0.0001
ResNet-50,3,45,train,0.14347,0.91529,0.0001
ResNet-50,3,46,train,0.15717,0.92886,0.0001
ResNet-50,3,47,train,0.16973,0.90397,0.0001
ResNet-50,3,48,train,0.12898,0.91971,0.0001
ResNet-50,3,49,train,0.10512,0.91641,0.0001
ResNet-50,3,50,train,0.12892,0.91858,0.0001
ResNet-50,3,51,train,0.13398,0.92024,0.0001
ResNet-50,3,52,train,0.11002,0.92676,3e-05
ResNet-50,3,53,train,0.11628,0.92132,3e-05
ResNet-50,3,54,train,0.12091,0.93132,3e-05
ResNet-50,3,55,train,0.09878,0.92717,3e-05
ResNet-50,3,56,train,0.11279,0.93455,3e-05
ResNet-50,3,57,train,0.09635,0.93236,3e-05
ResNet-50,3,58,train,0.08001,0.93018,3e-05
ResNet-50,3,59,train,0.10247,0.92076,3e-05
ResNet-50,3,60,train,0.06698,0.93384,3e-05
ResNet-50,3,1,val,2.28338,0.44322,0.001
ResNet-50,3,2,val,2.15777,0.47254,0.001
ResNet-50,3,3,val,2.04019,0.50291,0.001
ResNet-50,3,4,val,1.8809,0.51941,0.001
ResNet-50,3,5,val,1.82687,0.54259,0.001
ResNet-50,3,6,val,1.73191,0.55102,0.001
ResNet-50,3,7,val,1.6684,0.58923,0.001
ResNet-50,3,8,val,1.55063,0.60047,0.001
ResNet-50,3,9,val,1.50169,0.62513,0.001
ResNet-50,3,10,val,1.39968,0.63045,0.001
ResNet-50,3,11,val,1.35725,0.64428,0.001
ResNet-50,3,12,val,1.23702,0.66174,0.001
ResNet-50,3,13,val,1.16407,0.6721,0.001
ResNet-50,3,14,val,1.09296,0.69138,0.001
ResNet-50,3,15,val,1.07747,0.70383,0.001
ResNet-50,3,16,val,1.01436,0.71915,0.001
ResNet-50,3,17,val,0.94812,0.72431,0.001
ResNet-50,3,18,val,0.91867,0.73788,0.001
ResNet-50,3,19,val,0.89321,0.73585,0.001
ResNet-50,3,20,val,0.76295,0.7414,0.001
ResNet-50,3,21,val,0.76899,0.76255,0.001
ResNet-50,3,22,val,0.74408,0.7819,0.001
ResNet-50,3,23,val,0.74498,0.77917,0.001
ResNet-50,3,24,val,0.68684,0.78756,0.001
ResNet-50,3,25,val,0.68718,0.80662,0.0003
ResNet-50,3,26,val,0.61403,0.81279,0.0003
ResNet-50,3,27,val,0.60726,0.82537,0.0003
ResNet-50,3,28,val,0.60024,0.81576,0.0003
ResNet-50,3,29,val,0.52972,0.82596,0.0003
ResNet-50,3,30,val,0.54653,0.82557,0.0003
ResNet-50,3,31,val,0.51963,0.83143,0.0003
ResNet-50,3,32,val,0.50598,0.84383,0.0003
ResNet-50,3,33,val,0.43135,0.85037,0.0003
ResNet-50,3,34,val,0.44658,0.85009,0.0003
ResNet-50,3,35,val,0.46394,0.85586,0.0003
ResNet-50,3,36,val,0.42088,0.86666,0.0003
ResNet-50,3,37,val,0.40196,0.84664,0.0003
ResNet-50,3,38,val,0.36861,0.86804,0.0003
ResNet-50,3,39,val,0.37315,0.86419,0.0003
ResNet-50,3,40,val,0.33959,0.87747,0.0001
ResNet-50,3,41,val,0.34753,0.87278,0.0001
ResNet-50,3,42,val,0.32534,0.8727,0.0001
ResNet-50,3,43,val,0.27424,0.88071,0.0001
ResNet-50,3,44,val,0.32347,0.88384,0.0001
ResNet-50,3,45,val,0.26105,0.88556,0.0001
ResNet-50,3,46,val,0.29938,0.89647,0.0001
ResNet-50,3,47,val,0.30189,0.8858,0.0001
ResNet-50,3,48,val,0.2655,0.88854,0.0001
ResNet-50,3,49,val,0.26086,0.89023,0.0001
ResNet-50,3,50,val,0.24979,0.88912,0.0001
ResNet-50,3,51,val,0.24433,0.89008,0.0001
ResNet-50,3,52,val,0.28643,0.89927,3e-05
ResNet-50,3,53,val,0.21541,0.89225,3e-05
ResNet-50,3,54,val,0.22744,0.89885,3e-05
ResNet-50,3,55,val,0.23084,0.89917,3e-05
ResNet-50,3,56,val,0.22817,0.91063,3e-05
ResNet-50,3,57,val,0.18878,0.90172,3e-05
ResNet-50,3,58,val,0.22899,0.90369,3e-05
ResNet-50,3,59,val,0.2194,0.89609,3e-05
ResNet-50,3,60,val,0.19284,0.90449,3e-05
ResNet-50,4,1,train,2.13093,0.47218,0.001
ResNet-50,4,2,train,1.96666,0.48306,0.001
ResNet-50,4,3,train,1.79494,0.52561,0.001
ResNet-50,4,4,train,1.64744,0.54894,0.001
ResNet-50,4,5,train,1.50922,0.57674,0.001
ResNet-50,4,6,train,1.36869,0.62109,0.001
ResNet-50,4,7,train,1.26809,0.62224,0.001
ResNet-50,4,8,train,1.18038,0.65029,0.001
ResNet-50,4,9,train,1.06511,0.6707,0.001
ResNet-50,4,10,train,0.97935,0.70746,0.001
ResNet-50,4,11,train,0.89072,0.71655,0.001
ResNet-50,4,12,train,0.81281,0.73395,0.001
ResNet-50,4,13,train,0.76719,0.74503,0.001
ResNet-50,4,14,train,0.70003,0.7605,0.001
ResNet-50,4,15,train,0.61292,0.75987,0.001
ResNet-50,4,16,train,0.56803,0.77202,0.001
ResNet-50,4,17,train,0.51885,0.79214,0.001
ResNet-50,4,18,train,0.4872,0.80018,0.001
ResNet-50,4,19,train,0.46702,0.81185,0.001
ResNet-50,4,20,train,0.41869,0.80903,0.001
ResNet-50,4,21,train,0.41418,0.81762,0.001
ResNet-50,4,22,train,0.36217,0.83586,0.001
ResNet-50,4,23,train,0.33804,0.84513,0.001
ResNet-50,4,24,train,0.31762,0.85285,0.001
ResNet-50,4,25,train,0.26589,0.86435,0.0003
ResNet-50,4,26,train,0.27357,0.87541,0.0003
