case_id,model,structure,dice,hd95,assd
CT004,Attention U-Net,Spleen,0.95681,2.8684,0.6635
CT004,Attention U-Net,Kidney L,0.90152,5.0687,1.1981
CT004,Attention U-Net,Kidney R,0.89104,5.2791,1.1917
CT004,Attention U-Net,Tumour,0.66826,17.9403,4.5691
CT004,nnU-Net,Liver,0.97368,3.1495,0.8286
CT004,nnU-Net,Spleen,0.94735,4.2939,1.0186
CT004,nnU-Net,Kidney L,0.86164,3.7103,0.9182
CT004,nnU-Net,Kidney R,0.91646,5.7586,1.3809
CT004,nnU-Net,Tumour,0.75186,12.6057,2.777
CT005,U-Net,Liver,0.89378,2.1635,0.5491
CT005,U-Net,Spleen,0.90806,1.9679,0.5548
CT005,U-Net,Kidney L,0.8224,4.4412,1.263
CT005,U-Net,Kidney R,0.79169,3.5322,0.8243
CT005,U-Net,Tumour,0.65445,13.801,2.5001
CT005,Attention U-Net,Liver,0.93612,2.1284,0.4406
CT005,Attention U-Net,Spleen,0.83716,3.6515,0.9167
CT005,Attention U-Net,Kidney L,0.87161,6.7046,1.3033
CT005,Attention U-Net,Kidney R,0.86918,3.6397,0.9269
CT005,Attention U-Net,Tumour,0.80631,18.325,3.4165
CT005,nnU-Net,Liver,0.91866,3.2068,0.7666
CT005,nnU-Net,Spleen,0.91617,3.8541,0.7732
CT005,nnU-Net,Kidney L,0.93658,3.9382,0.8137
CT005,nnU-Net,Kidney R,0.92751,4.6339,0.9866
CT005,nnU-Net,Tumour,0.57258,29.9153,8.0596
CT006,U-Net,Liver,0.92487,2.5838,0.48
CT006,U-Net,Spleen,0.91241,3.8488,1.0008
CT006,U-Net,Kidney L,0.94966,3.2842,0.7872
CT006,U-Net,Kidney R,0.93336,5.2339,1.0382
CT006,U-Net,Tumour,0.68947,21.0562,5.5468
CT006,Attention U-Net,Liver,0.98841,2.8621,0.596
CT006,Attention U-Net,Spleen,0.9678,3.5948,0.8556
CT006,Attention U-Net,Kidney L,0.86876,3.7343,1.3721
CT006,Attention U-Net,Kidney R,0.86959,2.6537,0.6026
CT006,Attention U-Net,Tumour,0.74739,14.3785,4.4064
CT006,nnU-Net,Liver,0.98059,2.4344,0.5724
CT006,nnU-Net,Spleen,0.97642,4.7628,0.9926
CT006,nnU-Net,Kidney L,0.9385,3.7129,0.9512
CT006,nnU-Net,Kidney R,0.95821,3.6743,1.1068
CT006,nnU-Net,Tumour,0.73704,15.3877,3.6164
CT007,U-Net,Liver,0.91446,2.2352,0.4989
CT007,U-Net,Spleen,0.83536,3.5953,0.7974
CT007,U-Net,Kidney L,0.81089,5.6422,1.3533
CT007,U-Net,Kidney R,0.83968,4.413,1.0792
CT007,U-Net,Tumour,0.78465,9.9438,3.6583
CT007,Attention U-Net,Liver,0.89564,5.5988,1.7742
CT007,Attention U-Net,Spleen,0.91587,3.6435,0.7986
CT007,Attention U-Net,Kidney L,0.88742,3.2832,0.9461
CT007,Attention U-Net,Kidney R,0.90366,7.5378,2.625
CT007,Attention U-Net,Tumour,0.71293,21.2908,4.191
CT007,nnU-Net,Liver,0.90503,2.9665,0.6473
CT007,nnU-Net,Spleen,0.94393,3.8065,1.0199
CT007,nnU-Net,Kidney L,0.91849,3.6034,1.0485
CT007,nnU-Net,Kidney R,0.93936,2.5401,0.6071
CT007,nnU-Net,Tumour,0.7353,21.487,5.5481
CT008,U-Net,Liver,0.9571,3.7791,0.8411
CT008,U-Net,Spleen,0.89105,3.3176,0.8603
CT008,U-Net,Kidney L,0.89722,3.9089,0.9099
CT008,U-Net,Kidney R,0.8457,8.965,1.8947
CT008,U-Net,Tumour,0.82814,20.3698,3.8708
CT008,Attention U-Net,Liver,0.9415,2.8164,0.4914
CT008,Attention U-Net,Spleen,0.97564,3.3692,0.9088
CT008,Attention U-Net,Kidney L,0.93613,3.4256,0.7623
CT008,Attention U-Net,Kidney R,0.90621,3.8229,1.2679
CT008,Attention U-Net,Tumour,0.73027,12.3706,3.5598
CT008,nnU-Net,Liver,0.98116,2.1175,0.621
CT008,nnU-Net,Spleen,0.999,2.9079,0.682
CT008,nnU-Net,Kidney L,0.93219,2.6158,0.5948
CT008,nnU-Net,Kidney R,0.96563,3.4312,1.1725
CT008,nnU-Net,Tumour,0.73239,25.3798,6.3202
CT009,U-Net,Liver,0.95142,2.0693,0.5884
CT009,U-Net,Spleen,0.97036,2.7618,0.5471
CT009,U-Net,Kidney L,0.88881,5.2529,1.445
CT009,U-Net,Kidney R,0.88404,4.3433,0.8375
CT009,U-Net,Tumour,0.6217,19.1099,4.8356
CT009,Attention U-Net,Liver,0.9545,2.1743,0.5072
CT009,Attention U-Net,Spleen,0.88992,4.1012,0.9604
CT009,Attention U-Net,Kidney L,0.88075,3.5716,0.9125
CT009,Attention U-Net,Kidney R,0.92407,5.0053,1.1274
CT009,Attention U-Net,Tumour,0.83659,12.8595,2.9821
CT009,nnU-Net,Liver,0.999,2.6848,0.5952
CT009,nnU-Net,Spleen,0.93179,3.4971,0.9325
CT009,nnU-Net,Kidney L,0.97427,6.5242,1.385
CT009,nnU-Net,Kidney R,0.86724,6.3001,1.3155
CT009,nnU-Net,Tumour,0.99695,8.3929,1.721
CT010,U-Net,Liver,0.95447,3.1637,0.8695
CT010,U-Net,Spleen,0.9007,3.1953,0.6641
CT010,U-Net,Kidney L,0.93683,3.9245,0.922
CT010,U-Net,Kidney R,0.85675,5.3375,1.2217
CT010,U-Net,Tumour,0.61309,21.3951,4.9404
CT010,Attention U-Net,Liver,0.94305,2.5949,0.6492
CT010,Attention U-Net,Spleen,0.96312,3.6853,0.8373
CT010,Attention U-Net,Kidney L,0.96729,4.0338,0.783
CT010,Attention U-Net,Kidney R,0.92847,4.1119,0.9469
CT010,Attention U-Net,Tumour,0.72901,22.5189,5.6738
CT010,nnU-Net,Liver,0.999,1.7915,0.5051
CT010,nnU-Net,Spleen,0.99683,2.2663,0.6169
CT010,nnU-Net,Kidney L,0.9861,4.9623,1.0705
CT010,nnU-Net,Kidney R,0.98447,2.9403,0.7632
CT010,nnU-Net,Tumour,0.88781,16.4433,3.8703
CT011,U-Net,Liver,0.92297,2.0672,0.4474
CT011,U-Net,Spleen,0.92463,2.6711,0.642
CT011,U-Net,Kidney L,0.94274,4.0535,1.4966
CT011,U-Net,Kidney R,0.89165,4.2541,0.826
CT011,U-Net,Tumour,0.68178,13.7332,3.5495
CT011,Attention U-Net,Liver,0.95645,2.2129,0.6405
CT011,Attention U-Net,Spleen,0.94806,2.7243,0.5635
CT011,Attention U-Net,Kidney L,0.95393,4.5061,1.0331
CT011,Attention U-Net,Kidney R,0.97102,4.3789,1.0468
CT011,Attention U-Net,Tumour,0.7325,15.7358,3.5018
CT011,nnU-Net,Liver,0.999,1.3202,0.3294
CT011,nnU-Net,Spleen,0.999,2.2434,0.5546
CT011,nnU-Net,Kidney L,0.97191,4.4957,1.2888
CT011,nnU-Net,Kidney R,0.96929,3.6799,0.8165
CT011,nnU-Net,Tumour,0.85358,17.3297,4.4411
CT012,U-Net,Liver,0.90116,2.0881,0.4821
CT012,U-Net,Spleen,0.85194,3.5484,0.8989
CT012,U-Net,Kidney L,0.85966,3.8885,0.8084
CT012,U-Net,Kidney R,0.88292,4.4153,1.2558
CT012,U-Net,Tumour,0.51094,24.1016,6.2913
CT012,Attention U-Net,Liver,0.9034,2.6624,0.7723
CT012,Attention U-Net,Spleen,0.91898,3.5571,0.9081
CT012,Attention U-Net,Kidney L,0.80012,5.429,1.5272
CT012,Attention U-Net,Kidney R,0.921,5.7653,1.3501
CT012,Attention U-Net,Tumour,0.80963,7.7417,1.735
CT012,nnU-Net,Liver,0.96617,1.6302,0.4004
CT012,nnU-Net,Spleen,0.95857,2.2733,0.4225
CT012,nnU-Net,Kidney L,0.89044,2.8095,0.8749
CT012,nnU-Net,Kidney R,0.85158,4.6564,1.1935
CT012,nnU-Net,Tumour,0.51262,21.7137,6.8544
CT013,U-Net,Liver,0.90824,3.6097,0.9026
CT013,U-Net,Spleen,0.89981,2.8339,0.7635
CT013,U-Net,Kidney L,0.82832,4.4888,0.8109
CT013,U-Net,Kidney R,0.83469,4.7904,0.9571
CT013,U-Net,Tumour,0.7171,17.6154,3.9943
CT013,Attention U-Net,Liver,0.9335,1.305,0.3622
CT013,Attention U-Net,Spleen,0.98227,2.6018,0.6053
CT013,Attention U-Net,Kidney L,0.92534,6.0487,1.4482
CT013,Attention U-Net,Kidney R,0.93784,4.1645,0.7952
CT013,Attention U-Net,Tumour,0.64644,10.7083,1.9157
CT013,nnU-Net,Liver,0.97195,1.9462,0.535
CT013,nnU-Net,Spleen,0.95316,4.4209,1.0199
CT013,nnU-Net,Kidney L,0.999,3.1152,0.7289
CT013,nnU-Net,Kidney R,0.85845,4.3659,1.0269
CT013,nnU-Net,Tumour,0.7636,11.8592,2.3634
CT014,U-Net,Liver,0.92941,2.7747,0.643
CT014,U-Net,Spleen,0.92778,4.5583,1.0523
CT014,U-Net,Kidney L,0.91501,3.1686,0.7569
CT014,U-Net,Kidney R,0.90569,3.6845,0.8708
CT014,U-Net,Tumour,0.65958,16.8832,3.3027
CT014,Attention U-Net,Liver,0.93397,4.8568,1.1163
CT014,Attention U-Net,Spleen,0.94905,2.4568,0.6046
CT014,Attention U-Net,Kidney L,0.90035,3.8129,1.1024
CT014,Attention U-Net,Kidney R,0.8606,6.4728,1.5408
CT014,Attention U-Net,Tumour,0.82122,16.3313,3.466
CT014,nnU-Net,Liver,0.98401,3.6257,0.6585
CT014,nnU-Net,Spleen,0.97372,3.5231,1.2238
CT014,nnU-Net,Kidney L,0.999,2.7691,0.5609
CT014,nnU-Net,Kidney R,0.97731,3.3588,0.7712
CT014,nnU-Net,Tumour,0.81505,16.8662,4.6576
CT015,U-Net,Liver,0.97355,2.6221,0.5288
CT015,U-Net,Spleen,0.95672,2.8215,0.7054
CT015,U-Net,Kidney L,0.94288,5.2296,1.3704
CT015,U-Net,Kidney R,0.91391,5.8217,1.469
CT015,U-Net,Tumour,0.72868,12.9201,2.4009
CT015,Attention U-Net,Liver,0.95527,2.6592,0.701
CT015,Attention U-Net,Spleen,0.95375,5.2462,1.2115
CT015,Attention U-Net,Kidney L,0.90368,4.1481,0.7505
CT015,Attention U-Net,Kidney R,0.95918,5.0034,1.1098
CT015,Attention U-Net,Tumour,0.65321,14.9923,3.285
CT015,nnU-Net,Liver,0.96141,2.1044,0.4708
CT015,nnU-Net,Spleen,0.96647,3.6535,0.9226
CT015,nnU-Net,Kidney L,0.98058,6.4785,1.4487
CT015,nnU-Net,Kidney R,0.98483,3.6278,0.8246
CT015,nnU-Net,Tumour,0.67905,19.9884,5.4353
CT016,U-Net,Liver,0.91537,3.3112,0.9561
CT016,U-Net,Spleen,0.89566,2.6683,0.7761
CT016,U-Net,Kidney L,0.91591,2.209,0.5172
CT016,U-Net,Kidney R,0.96653,4.572,1.2517
CT016,U-Net,Tumour,0.81991,12.1787,2.8794
CT016,Attention U-Net,Liver,0.9526,3.3526,0.7826
CT016,Attention U-Net,Spleen,0.94091,2.0648,0.511
CT016,Attention U-Net,Kidney L,0.95643,3.7444,0.8066
CT016,Attention U-Net,Kidney R,0.91132,3.6835,0.8958
CT016,Attention U-Net,Tumour,0.88508,17.5618,3.6988
CT016,nnU-Net,Liver,0.99794,2.1016,0.4874
CT016,nnU-Net,Spleen,0.91392,3.3009,0.7596
CT016,nnU-Net,Kidney L,0.89315,3.6982,0.9643
CT016,nnU-Net,Kidney R,0.89743,5.0926,1.2152
CT016,nnU-Net,Tumour,0.72834,16.6455,3.2921
CT017,U-Net,Liver,0.97531,2.9365,0.9337
CT017,U-Net,Spleen,0.91961,3.3935,0.7803
CT017,U-Net,Kidney L,0.92925,4.6765,1.3071
CT017,U-Net,Kidney R,0.90301,3.2069,0.8866
CT017,U-Net,Tumour,0.82185,15.5966,3.9374
CT017,Attention U-Net,Liver,0.999,2.9015,0.6552
CT017,Attention U-Net,Spleen,0.98498,2.8253,0.6088
CT017,Attention U-Net,Kidney L,0.999,4.2966,1.1488
CT017,Attention U-Net,Kidney R,0.92513,4.7545,1.2877
CT017,Attention U-Net,Tumour,0.72703,11.8512,2.6989
CT017,nnU-Net,Liver,0.98922,2.7212,0.6426
CT017,nnU-Net,Spleen,0.999,3.1895,0.7817
CT017,nnU-Net,Kidney L,0.97601,4.7661,1.3481
CT017,nnU-Net,Kidney R,0.94898,4.0145,0.8699
CT017,nnU-Net,Tumour,0.70584,15.8939,4.2858
CT018,U-Net,Liver,0.96002,2.1374,0.4145
CT018,U-Net,Spleen,0.95427,4.1753,0.9111
CT018,U-Net,Kidney L,0.90144,5.0791,1.0912
CT018,U-Net,Kidney R,0.91222,4.1694,1.0084
CT018,U-Net,Tumour,0.82579,13.4007,2.955
CT018,Attention U-Net,Liver,0.96307,2.5452,0.524
CT018,Attention U-Net,Spleen,0.999,2.6224,0.6724
CT018,Attention U-Net,Kidney L,0.90052,6.6238,1.1579
CT018,Attention U-Net,Kidney R,0.95989,3.9238,0.8844
CT018,Attention U-Net,Tumour,0.72278,14.3642,3.6081
CT018,nnU-Net,Liver,0.97526,2.572,0.621
CT018,nnU-Net,Spleen,0.99861,2.4491,0.4548
CT018,nnU-Net,Kidney L,0.94219,4.1761,1.0773
CT018,nnU-Net,Kidney R,0.89075,4.8966,0.9672
CT018,nnU-Net,Tumour,0.68425,14.9406,4.0107
CT019,U-Net,Liver,0.93333,2.9071,0.6214
CT019,U-Net,Spleen,0.91864,4.4988,1.2549
CT019,U-Net,Kidney L,0.89862,6.9618,1.5559
CT019,U-Net,Kidney R,0.9268,3.8995,0.8605
CT019,U-Net,Tumour,0.77162,21.9105,5.1062
CT019,Attention U-Net,Liver,0.96391,2.1214,0.4227
CT019,Attention U-Net,Spleen,0.92559,2.523,0.5482
CT019,Attention U-Net,Kidney L,0.90668,3.9473,0.7422
CT019,Attention U-Net,Kidney R,0.8652,5.7103,0.9985
CT019,Attention U-Net,Tumour,0.78606,12.0547,2.9522
CT019,nnU-Net,Liver,0.98347,3.4118,0.8255
CT019,nnU-Net,Spleen,0.98646,3.8747,0.963
CT019,nnU-Net,Kidney L,0.9475,6.7485,1.5674
CT019,nnU-Net,Kidney R,0.97039,4.0232,1.1431
CT019,nnU-Net,Tumour,0.68087,16.6187,3.896
CT020,U-Net,Liver,0.94328,2.3992,0.539
CT020,U-Net,Spleen,0.93789,3.4644,0.8045
CT020,U-Net,Kidney L,0.84931,3.6983,0.6768
CT020,U-Net,Kidney R,0.85523,4.6514,1.3512
CT020,U-Net,Tumour,0.84484,11.6251,2.8655
CT020,Attention U-Net,Liver,0.94552,3.1837,0.868
CT020,Attention U-Net,Spleen,0.91398,3.6883,1.0453
CT020,Attention U-Net,Kidney L,0.91592,2.9833,0.618
CT020,Attention U-Net,Kidney R,0.90287,4.3317,1.2603
CT020,Attention U-Net,Tumour,0.60459,20.8957,5.0949
CT020,nnU-Net,Liver,0.99298,1.9069,0.5138
CT020,nnU-Net,Spleen,0.95546,3.183,0.9032
CT020,nnU-Net,Kidney L,0.94646,5.3999,1.3477
CT020,nnU-Net,Kidney R,0.95285,6.069,1.1965
CT020,nnU-Net,Tumour,0.7848,10.4578,1.9173
CT021,U-Net,Liver,0.97318,1.9238,0.4452
CT021,U-Net,Spleen,0.999,2.2251,0.492
CT021,U-Net,Kidney L,0.88397,4.5383,1.0599
CT021,U-Net,Kidney R,0.8331,6.7187,1.7912
CT021,U-Net,Tumour,0.69994,12.1826,3.5852
CT021,Attention U-Net,Liver,0.93448,3.2524,0.7442
CT021,Attention U-Net,Spleen,0.95301,2.71,0.6864
CT021,Attention U-Net,Kidney L,0.89983,3.8386,1.0135
CT021,Attention U-Net,Kidney R,0.98109,6.6087,1.4219
CT021,Attention U-Net,Tumour,0.78712,13.6849,2.77
CT021,nnU-Net,Liver,0.999,3.1376,0.7985
CT021,nnU-Net,Spleen,0.999,2.8206,0.7399
CT021,nnU-Net,Kidney L,0.96312,3.8508,1.4133
CT021,nnU-Net,Kidney R,0.93082,6.1414,1.0423
CT021,nnU-Net,Tumour,0.76803,16.2724,4.0569
CT022,U-Net,Liver,0.9235,2.8668,0.7422
CT022,U-Net,Spleen,0.85901,5.3205,1.3914
CT022,U-Net,Kidney L,0.88651,4.6466,1.4681
CT022,U-Net,Kidney R,0.84549,6.9148,1.6588
CT022,U-Net,Tumour,0.75958,13.9896,3.2313
CT022,Attention U-Net,Liver,0.97724,3.5893,0.8459
CT022,Attention U-Net,Spleen,0.96511,3.001,0.4811
CT022,Attention U-Net,Kidney L,0.93446,4.2494,0.752
CT022,Attention U-Net,Kidney R,0.89943,7.2173,2.031
CT022,Attention U-Net,Tumour,0.71662,17.595,3.9385
CT022,nnU-Net,Liver,0.96416,2.5356,0.6062
CT022,nnU-Net,Spleen,0.92362,3.2099,0.7109
CT022,nnU-Net,Kidney L,0.89539,4.446,1.47
CT022,nnU-Net,Kidney R,0.93968,6.2221,1.666
CT022,nnU-Net,Tumour,0.83818,15.7831,4.0584
CT023,U-Net,Liver,0.9276,2.2187,0.6483
CT023,U-Net,Spleen,0.88897,3.2899,0.7065
CT023,U-Net,Kidney L,0.8701,3.6334,0.7352
CT023,U-Net,Kidney R,0.88334,3.6771,0.883
CT023,U-Net,Tumour,0.6884,20.2826,5.5322
CT023,Attention U-Net,Liver,0.94074,3.0051,0.5204
CT023,Attention U-Net,Spleen,0.92889,2.7941,0.619
CT023,Attention U-Net,Kidney L,0.90796,5.6738,1.1683
CT023,Attention U-Net,Kidney R,0.87082,4.1725,1.0389
CT023,Attention U-Net,Tumour,0.6249,14.9838,2.9828
CT023,nnU-Net,Liver,0.98278,2.9092,0.6099
CT023,nnU-Net,Spleen,0.94136,3.321,0.7824
CT023,nnU-Net,Kidney L,0.999,6.7403,1.7259
CT023,nnU-Net,Kidney R,0.95857,6.3329,1.8565
CT023,nnU-Net,Tumour,0.89628,15.3938,3.8534
CT024,U-Net,Liver,0.95936,1.6845,0.3866
CT024,U-Net,Spleen,0.89123,2.7709,0.5839
CT024,U-Net,Kidney L,0.81535,7.1256,1.3965
CT024,U-Net,Kidney R,0.88872,2.8095,0.6578
CT024,U-Net,Tumour,0.67174,10.6106,3.2069
CT024,Attention U-Net,Liver,0.95243,4.0255,0.6749
CT024,Attention U-Net,Spleen,0.88927,4.2893,1.2441
CT024,Attention U-Net,Kidney L,0.8488,8.3241,1.4506
CT024,Attention U-Net,Kidney R,0.92477,4.5913,0.913
CT024,Attention U-Net,Tumour,0.61194,23.6515,4.552
CT024,nnU-Net,Liver,0.93849,2.576,0.6061
CT024,nnU-Net,Spleen,0.94201,2.1711,0.6561
CT024,nnU-Net,Kidney L,0.94667,3.4407,0.722
CT024,nnU-Net,Kidney R,0.93043,5.0783,1.3848
CT024,nnU-Net,Tumour,0.70976,15.8476,3.477
CT025,U-Net,Liver,0.92227,1.9721,0.5775
CT025,U-Net,Spleen,0.90419,4.5423,1.0826
CT025,U-Net,Kidney L,0.85879,4.5573,1.0218
CT025,U-Net,Kidney R,0.87516,6.9016,1.6676
CT025,U-Net,Tumour,0.90468,14.4354,4.5472
CT025,Attention U-Net,Liver,0.93064,1.7936,0.3699
CT025,Attention U-Net,Spleen,0.95735,3.641,1.0306
CT025,Attention U-Net,Kidney L,0.94004,4.5701,0.927
CT025,Attention U-Net,Kidney R,0.95592,3.2482,0.7156
CT025,Attention U-Net,Tumour,0.72495,14.8257,3.7875
CT025,nnU-Net,Liver,0.999,2.6756,0.6809
CT025,nnU-Net,Spleen,0.96129,5.1515,1.4108
CT025,nnU-Net,Kidney L,0.90602,3.3112,0.7261
CT025,nnU-Net,Kidney R,0.91841,4.549,1.1622
CT025,nnU-Net,Tumour,0.96522,13.3159,2.89
CT026,U-Net,Liver,0.91471,3.1121,1.0943
CT026,U-Net,Spleen,0.93224,2.9508,0.7717
CT026,U-Net,Kidney L,0.91627,4.6648,1.3563
CT026,U-Net,Kidney R,0.86535,5.9871,1.5683
CT026,U-Net,Tumour,0.5947,18.9976,4.3537
CT026,Attention U-Net,Liver,0.94759,2.6007,0.6785
CT026,Attention U-Net,Spleen,0.93271,5.3517,1.7794
CT026,Attention U-Net,Kidney L,0.92476,3.4328,1.0147
CT026,Attention U-Net,Kidney R,0.97398,4.3027,1.0428
CT026,Attention U-Net,Tumour,0.68657,13.7486,3.0521
CT026,nnU-Net,Liver,0.97007,2.8824,0.7987
CT026,nnU-Net,Spleen,0.96956,3.6662,0.8293
CT026,nnU-Net,Kidney L,0.97421,4.4033,1.1856
CT026,nnU-Net,Kidney R,0.999,5.0247,1.1066
CT026,nnU-Net,Tumour,0.77904,14.0054,3.4127
CT027,U-Net,Liver,0.92853,1.9948,0.4978
CT027,U-Net,Spleen,0.92291,3.1656,0.6013
CT027,U-Net,Kidney L,0.93465,4.7096,1.0527
CT027,U-Net,Kidney R,0.89025,5.5986,1.7978
CT027,U-Net,Tumour,0.72358,14.5649,4.7241
CT027,Attention U-Net,Liver,0.94072,4.6237,0.9406
CT027,Attention U-Net,Spleen,0.999,2.8625,0.6555
CT027,Attention U-Net,Kidney L,0.94542,3.5793,0.7291
CT027,Attention U-Net,Kidney R,0.89094,5.4449,1.0632
CT027,Attention U-Net,Tumour,0.74175,19.1301,4.2984
CT027,nnU-Net,Liver,0.96671,3.8907,0.754
CT027,nnU-Net,Spleen,0.98287,2.2582,0.5669
CT027,nnU-Net,Kidney L,0.94093,5.5817,1.1223
CT027,nnU-Net,Kidney R,0.92969,3.7352,0.863
CT027,nnU-Net,Tumour,0.999,6.8912,1.6213
CT028,U-Net,Liver,0.90691,2.2399,0.4357
CT028,U-Net,Spleen,0.91702,3.7724,0.8883
CT028,U-Net,Kidney L,0.85342,7.1375,1.6567
CT028,U-Net,Kidney R,0.86252,5.0959,1.0383
CT028,U-Net,Tumour,0.45124,19.9326,5.8531
CT028,Attention U-Net,Liver,0.89511,1.5453,0.3688
CT028,Attention U-Net,Spleen,0.90833,3.6023,0.7948
CT028,Attention U-Net,Kidney L,0.91341,5.943,1.2354
CT028,Attention U-Net,Kidney R,0.925,6.1553,1.2927
CT028,Attention U-Net,Tumour,0.71639,23.8399,4.8232
CT028,nnU-Net,Liver,0.98577,1.9766,0.3226
CT028,nnU-Net,Spleen,0.88799,2.4248,0.6139
CT028,nnU-Net,Kidney L,0.91519,3.6191,0.6318
CT028,nnU-Net,Kidney R,0.8991,4.7698,0.9774
CT028,nnU-Net,Tumour,0.81177,9.3067,1.9643
CT029,U-Net,Liver,0.91884,3.4051,1.0562
CT029,U-Net,Spleen,0.93186,3.8998,0.9761
CT029,U-Net,Kidney L,0.94172,3.7936,1.2058
CT029,U-Net,Kidney R,0.92321,2.4068,0.5826
CT029,U-Net,Tumour,0.64111,15.7437,3.0836
CT029,Attention U-Net,Liver,0.98329,1.7941,0.3902
CT029,Attention U-Net,Spleen,0.93262,2.2924,0.5933
CT029,Attention U-Net,Kidney L,0.88705,4.5542,1.0546
CT029,Attention U-Net,Kidney R,0.91429,4.4225,0.8879
CT029,Attention U-Net,Tumour,0.86304,8.922,2.5656
CT029,nnU-Net,Liver,0.96198,2.6005,0.5183
CT029,nnU-Net,Spleen,0.98528,3.8298,0.8138
CT029,nnU-Net,Kidney L,0.95091,5.8687,1.1286
CT029,nnU-Net,Kidney R,0.89966,2.9457,0.6155
CT029,nnU-Net,Tumour,0.54213,17.9669,4.5866
CT030,U-Net,Liver,0.8942,2.7216,0.6578
CT030,U-Net,Spleen,0.90349,5.4023,1.156
CT030,U-Net,Kidney L,0.83748,4.333,1.2223
CT030,U-Net,Kidney R,0.90091,6.2648,1.3734
CT030,U-Net,Tumour,0.69716,11.7739,3.2588
CT030,Attention U-Net,Liver,0.94013,3.2772,0.9419
