date,month_num,city,temperature_mean,temperature_max,temperature_min,humidity,rainfall_mm,co2_ppm,solar_rad,wind_speed,aqi
2015-09-01,21,Paris,12.1,16.3,6.3,46.5,57.5,399.9,203.9,16.8,67.0
2015-10-01,22,Berlin,8.1,12.7,2.2,51.9,72.7,399.3,115.6,21.4,62.0
2015-11-01,23,Madrid,5.1,10.1,0.2,58.0,38.5,401.3,38.6,25.1,54.0
2015-12-01,24,Rome,2.4,6.3,-2.6,66.4,41.4,402.8,22.3,32.3,41.0
2016-01-01,25,London,2.6,7.4,-3.1,74.7,32.9,404.9,31.3,24.1,41.0
2016-02-01,26,Paris,7.9,11.9,1.8,79.2,45.3,406.6,112.5,19.5,23.0
2016-03-01,27,Berlin,12.5,17.8,6.8,71.9,23.5,406.6,190.7,19.3,13.0
2016-04-01,28,Madrid,17.2,22.4,12.0,68.3,60.0,406.6,284.0,12.7,35.0
2016-05-01,29,Rome,21.9,27.2,17.6,60.6,71.2,406.0,354.1,15.7,43.0
2016-06-01,30,London,21.4,26.2,15.6,55.5,62.5,403.5,364.7,9.9,44.0
2016-07-01,31,Paris,21.4,26.0,14.8,41.3,83.3,403.5,363.8,12.7,54.0
2016-08-01,32,Berlin,18.6,23.5,12.2,43.5,70.1,401.4,291.3,14.5,61.0
2016-09-01,33,Madrid,11.9,17.1,6.8,46.8,59.9,402.0,199.4,15.5,64.0
2016-10-01,34,Rome,7.5,13.5,2.0,55.0,42.9,403.2,100.9,22.6,64.0
2016-11-01,35,London,3.2,9.2,-2.5,53.6,40.5,404.0,44.1,25.9,57.0
2016-12-01,36,Paris,0.8,5.3,-4.8,70.8,43.1,406.8,10,27.5,35.0
2017-01-01,37,Berlin,5.4,10.5,-1.2,78.7,26.4,406.7,46.5,23.5,36.0
2017-02-01,38,Madrid,7.3,13.0,0.6,75.9,42.2,408.5,111.7,22.4,24.0
2017-03-01,39,Rome,13.2,18.3,6.8,78.6,42.9,409.5,194.9,16.4,31.0
2017-04-01,40,London,17.6,22.8,11.5,70.0,48.8,409.8,288.5,15.7,31.0
2017-05-01,41,Paris,21.3,25.9,14.8,58.5,55.2,409.0,355.5,14.2,46.0
2017-06-01,42,Berlin,22.7,27.0,16.5,52.9,61.1,407.1,382.3,9.1,41.0
2017-07-01,43,Madrid,20.8,26.7,14.7,44.9,76.3,406.4,350.4,12.0,59.0
2017-08-01,44,Rome,18.3,24.0,12.0,48.4,68.1,404.9,299.6,15.6,62.0
2017-09-01,45,London,11.8,17.0,5.5,43.9,58.5,405.0,183.0,18.7,66.0
2017-10-01,46,Paris,7.3,12.8,1.6,50.1,43.3,405.9,97.9,21.3,59.0
2017-11-01,47,Berlin,4.1,9.2,-1.9,62.7,37.3,406.7,34.4,26.4,58.0
2017-12-01,48,Madrid,3.9,8.5,-2.1,66.7,23.1,408.6,10,27.6,48.0
2018-01-01,49,Rome,5.2,11.3,-1.0,72.5,20.1,411.3,30.3,25.9,28.0
2018-02-01,50,London,5.9,9.9,-0.8,78.2,15.3,411.5,100.7,23.2,22.0
2018-03-01,51,Paris,14.0,18.5,7.6,73.7,35.2,412.9,201.0,15.6,22.0
2018-04-01,52,Berlin,17.5,22.9,11.7,67.7,58.7,411.8,288.9,14.4,35.0
2018-05-01,53,Madrid,21.5,26.4,15.0,62.8,59.1,411.3,340.7,13.2,28.0
2018-06-01,54,Rome,22.3,27.9,15.7,52.9,76.7,409.4,390.7,13.0,35.0
2018-07-01,55,London,20.5,25.9,13.8,46.2,81.3,408.9,354.1,11.3,51.0
2018-08-01,56,Paris,19.0,23.7,13.2,43.5,77.0,407.6,288.7,12.0,66.0
2018-09-01,57,Berlin,14.1,19.2,8.5,49.2,74.3,407.7,201.7,19.7,65.0
2018-10-01,58,Madrid,7.2,12.2,0.2,51.9,54.1,408.8,111.2,23.9,62.0
2018-11-01,59,Rome,3.5,7.8,-3.0,55.2,41.3,409.4,48.7,25.1,60.0
2018-12-01,60,London,3.8,8.5,-2.3,65.3,7.8,411.5,29.5,26.0,43.0
2019-01-01,61,Paris,5.4,9.2,-0.5,73.1,14.3,413.6,51.9,24.4,35.0
2019-02-01,62,Berlin,7.9,12.6,1.2,79.1,34.3,414.6,101.2,26.2,38.0
2019-03-01,63,Madrid,13.4,17.9,6.9,74.6,25.9,414.8,208.7,15.0,35.0
2019-04-01,64,Rome,19.5,23.8,12.7,67.3,39.7,414.5,269.4,13.5,37.0
2019-05-01,65,London,21.0,25.8,14.2,62.6,62.7,414.8,357.5,10.3,38.0
2019-06-01,66,Paris,22.8,27.1,16.9,52.6,77.6,412.7,375.9,10.8,54.0
2019-07-01,67,Berlin,21.0,26.8,14.9,45.1,104.3,411.3,366.8,12.7,47.0
2019-08-01,68,Madrid,18.3,23.0,11.6,39.7,77.0,410.7,293.1,13.4,58.0
2019-09-01,69,Rome,12.4,17.1,5.9,46.1,64.8,409.7,198.1,16.5,65.0
2019-10-01,70,London,8.6,13.7,2.8,46.9,46.2,410.9,115.1,18.8,63.0
2019-11-01,71,Paris,5.5,10.4,-0.5,60.6,37.5,412.5,44.7,25.2,51.0
2019-12-01,72,Berlin,3.1,8.7,-3.0,66.4,19.1,414.2,13.2,27.8,40.0
2020-01-01,73,Madrid,3.9,9.0,-2.0,73.5,30.6,415.4,47.7,23.1,41.0
2020-02-01,74,Rome,8.9,14.2,3.0,72.6,20.7,417.1,109.8,22.2,21.0
2020-03-01,75,London,13.6,18.2,7.0,72.9,16.4,417.8,206.8,17.9,20.0
2020-04-01,76,Paris,17.7,22.6,10.5,68.6,56.6,417.2,286.0,14.4,29.0
2020-05-01,77,Berlin,23.0,28.0,16.6,59.3,66.8,417.2,353.3,9.0,31.0
2020-06-01,78,Madrid,21.8,26.9,15.1,49.4,56.2,414.6,384.5,7.4,36.0
2020-07-01,79,Rome,22.2,27.1,16.5,49.6,79.9,413.2,354.9,12.1,52.0
2020-08-01,80,London,17.3,22.8,11.1,43.8,76.1,413.5,292.1,13.3,66.0
2020-09-01,81,Paris,15.2,20.9,9.5,43.3,102.5,412.2,197.0,16.6,73.0
2020-10-01,82,Berlin,8.8,13.1,2.9,53.5,46.8,412.8,104.2,21.1,62.0
2020-11-01,83,Madrid,4.4,9.7,-2.1,54.1,27.6,415.4,39.5,29.6,57.0
2020-12-01,84,Rome,2.5,7.1,-3.4,63.3,47.8,416.0,25.4,28.9,44.0
2021-01-01,85,London,4.2,9.1,-1.6,75.2,20.6,417.5,44.5,23.6,24.0
2021-02-01,86,Paris,8.1,12.4,2.4,80.8,42.6,419.2,106.3,23.4,33.0
2021-03-01,87,Berlin,13.3,18.3,8.4,73.0,30.1,420.2,204.6,16.0,24.0
2021-04-01,88,Madrid,17.7,22.6,12.7,70.3,49.1,419.5,287.5,16.1,25.0
2021-05-01,89,Rome,23.5,27.8,17.4,65.9,44.9,419.7,341.1,10.9,34.0
2021-06-01,90,London,24.3,27.8,17.4,51.4,76.3,417.4,378.2,7.6,43.0
2021-07-01,91,Paris,21.7,26.8,16.0,51.7,73.4,416.4,356.3,10.5,55.0
2021-08-01,92,Berlin,17.4,22.6,11.0,42.1,60.1,416.2,288.9,16.3,64.0
2021-09-01,93,Madrid,12.3,16.8,6.7,44.4,54.1,415.4,198.6,16.0,63.0
2021-10-01,94,Rome,8.3,12.0,2.5,49.5,63.0,415.5,97.4,24.4,54.0
2021-11-01,95,London,4.5,9.8,-1.7,54.3,36.9,417.3,54.4,26.1,70.0
2021-12-01,96,Paris,2.4,7.4,-4.2,70.3,32.2,419.5,13.8,24.5,35.0
2022-01-01,97,Berlin,6.6,11.9,0.5,75.4,27.5,421.3,31.1,23.5,36.0
2022-02-01,98,Madrid,9.2,14.7,2.7,75.4,46.1,422.5,117.0,22.0,32.0
2022-03-01,99,Rome,15.4,20.4,10.0,70.7,40.9,423.2,194.0,20.2,22.0
2022-04-01,100,London,18.3,23.3,13.2,69.0,59.4,422.2,290.6,11.6,25.0
2022-05-01,101,Paris,23.2,28.2,18.0,60.1,63.0,422.4,350.7,8.0,42.0
2022-06-01,102,Berlin,24.3,28.2,18.3,51.9,93.4,420.1,375.4,8.2,40.0
2022-07-01,103,Madrid,22.0,26.3,15.5,42.6,65.0,418.4,351.7,9.7,49.0
2022-08-01,104,Rome,19.3,24.3,13.1,43.6,91.9,418.4,293.8,8.8,59.0
2022-09-01,105,London,12.2,17.0,6.4,44.6,70.2,417.6,204.6,14.9,64.0
2022-10-01,106,Paris,9.3,14.5,3.2,57.7,45.9,418.5,87.9,25.5,60.0
2022-11-01,107,Berlin,4.3,10.0,-1.1,59.6,20.7,420.2,39.1,22.6,60.0
2022-12-01,108,Madrid,2.2,7.5,-3.6,73.0,27.3,420.7,13.3,26.1,47.0
2023-01-01,109,Rome,6.3,10.3,0.1,75.5,35.4,424.4,41.0,27.1,44.0
2023-02-01,110,London,10.1,15.5,4.5,72.6,9.5,425.3,107.2,21.9,25.0
2023-03-01,111,Paris,13.8,19.0,7.3,73.5,37.5,425.4,194.1,19.6,34.0
2023-04-01,112,Berlin,18.7,24.3,13.1,60.1,42.4,424.9,296.3,14.4,30.0
2023-05-01,113,Madrid,23.3,27.9,17.0,57.0,63.3,424.3,357.3,9.6,40.0
2023-06-01,114,Rome,24.9,30.7,19.2,53.7,82.7,423.4,374.8,12.6,54.0
2023-07-01,115,London,24.4,29.4,18.6,48.6,80.0,422.1,354.9,10.7,64.0
2023-08-01,116,Paris,19.3,24.3,13.7,45.5,78.9,420.9,280.2,13.9,57.0
2023-09-01,117,Berlin,14.3,18.7,8.8,48.9,67.8,420.7,203.3,14.1,60.0
2023-10-01,118,Madrid,9.0,14.2,3.0,48.9,51.3,421.1,101.5,22.7,61.0
2023-11-01,119,Rome,6.5,11.8,0.8,60.3,26.5,422.2,32.3,30.7,50.0
2023-12-01,120,London,4.0,8.8,-2.1,65.1,5.3,423.9,10,25.7,42.0
2024-01-01,121,Paris,5.2,10.3,-1.1,75.4,16.1,426.2,33.5,26.2,33.0
